ASIN,end_time,product_name,reading_marketplace,start_time,total_reading_milliseconds
Not Available,2025-07-12T23:56:28.800Z,Not Available,www.amazon.com,2025-07-12T23:09:13.900Z,2834900
Not Available,2025-07-12T22:16:38Z,Not Available,www.amazon.com,2025-07-12T22:16:38Z,0
Not Available,2025-07-12T22:16:38.500Z,Not Available,www.amazon.com,2025-07-12T21:30:28Z,2770500
Not Available,2025-07-12T19:06:04Z,Not Available,www.amazon.com,2025-07-12T19:06:04Z,0
Not Available,2025-07-12T19:06:04Z,Not Available,www.amazon.com,2025-07-12T19:04:23.100Z,100900
Not Available,2025-07-12T17:54:38Z,Not Available,www.amazon.com,2025-07-12T17:54:38Z,0
Not Available,2025-07-12T17:54:37.900Z,Not Available,www.amazon.com,2025-07-12T17:26:19.800Z,1698100
Not Available,2025-07-12T17:25:59Z,Not Available,www.amazon.com,2025-07-12T17:25:59Z,0
Not Available,2025-07-12T17:26:00Z,Not Available,www.amazon.com,2025-07-12T17:14:34.300Z,685700
B0DJM99D77,2025-07-12T17:14:27.600Z,The Woman in Suite 11: A Novel,www.amazon.com,2025-07-12T17:12:53.800Z,93800
Not Available,2025-07-12T17:12:38Z,Not Available,www.amazon.com,2025-07-12T17:12:38Z,0
Not Available,2025-07-12T17:12:39Z,Not Available,www.amazon.com,2025-07-12T17:09:47Z,172000
Not Available,2025-07-12T03:49:03Z,Not Available,www.amazon.com,2025-07-12T03:49:03Z,0
Not Available,2025-07-12T03:49:03.100Z,Not Available,www.amazon.com,2025-07-12T03:26:28.200Z,1354900
Not Available,2025-07-12T03:24:31Z,Not Available,www.amazon.com,2025-07-12T03:24:31Z,0
Not Available,2025-07-12T03:24:31.500Z,Not Available,www.amazon.com,2025-07-12T02:49:45.900Z,2085600
Not Available,2025-07-12T01:25:12Z,Not Available,www.amazon.com,2025-07-12T01:25:12Z,0
Not Available,2025-07-12T01:25:12.300Z,Not Available,www.amazon.com,2025-07-12T00:25:04Z,3608300
Not Available,2025-07-11T21:22:22Z,Not Available,www.amazon.com,2025-07-11T21:22:22Z,0
Not Available,2025-07-11T21:22:22Z,Not Available,www.amazon.com,2025-07-11T20:48:46.900Z,2015100
Not Available,2025-07-11T20:15:46.500Z,Not Available,www.amazon.com,2025-07-11T20:00:49.900Z,896600
Not Available,2025-07-11T06:24:32Z,Not Available,www.amazon.com,2025-07-11T06:24:32Z,0
Not Available,2025-07-11T06:24:32.400Z,Not Available,www.amazon.com,2025-07-11T05:45:26Z,2346400
B0DJM99D77,2025-07-11T05:45:04.500Z,The Woman in Suite 11: A Novel,www.amazon.com,2025-07-11T05:44:38.600Z,25900
Not Available,2025-07-10T21:30:24Z,Not Available,www.amazon.com,2025-07-10T21:30:24Z,0
Not Available,2025-07-10T21:30:24.800Z,Not Available,www.amazon.com,2025-07-10T21:20:32.100Z,592700
Not Available,2025-07-10T21:19:19Z,Not Available,www.amazon.com,2025-07-10T21:19:19Z,0
Not Available,2025-07-10T21:19:19Z,Not Available,www.amazon.com,2025-07-10T20:47:57Z,1882000
Not Available,2025-07-10T03:54:35Z,Not Available,www.amazon.com,2025-07-10T03:54:35Z,0
Not Available,2025-07-10T03:54:34.800Z,Not Available,www.amazon.com,2025-07-10T03:43:47.900Z,646900
Not Available,2025-07-10T03:35:32Z,Not Available,www.amazon.com,2025-07-10T03:35:32Z,0
Not Available,2025-07-10T03:35:32.500Z,Not Available,www.amazon.com,2025-07-10T02:24:52.900Z,4239600
Not Available,2025-07-10T02:09:19Z,Not Available,www.amazon.com,2025-07-10T02:09:19Z,0
Not Available,2025-07-10T02:09:19.100Z,Not Available,www.amazon.com,2025-07-10T00:31:12.200Z,5886900
Not Available,2025-07-10T00:31:06Z,Not Available,www.amazon.com,2025-07-10T00:31:06Z,0
Not Available,2025-07-10T00:31:06.600Z,Not Available,www.amazon.com,2025-07-10T00:12:45.900Z,1100700
Not Available,2025-07-09T22:29:19Z,Not Available,www.amazon.com,2025-07-09T22:29:19Z,0
Not Available,2025-07-09T22:29:19.400Z,Not Available,www.amazon.com,2025-07-09T21:52:38.900Z,2200500
Not Available,2025-07-09T03:48:20Z,Not Available,www.amazon.com,2025-07-09T03:48:20Z,0
Not Available,2025-07-09T03:48:20.100Z,Not Available,www.amazon.com,2025-07-09T03:20:45Z,1655100
Not Available,2025-07-09T00:08:14.600Z,Not Available,www.amazon.com,2025-07-09T00:08:03.900Z,10700
Not Available,2025-07-09T00:05:47Z,Not Available,www.amazon.com,2025-07-09T00:05:47Z,0
Not Available,2025-07-09T00:05:47Z,Not Available,www.amazon.com,2025-07-08T23:36:07.900Z,1779100
Not Available,2025-07-08T23:03:17Z,Not Available,www.amazon.com,2025-07-08T23:03:17Z,0
Not Available,2025-07-08T23:03:17.100Z,Not Available,www.amazon.com,2025-07-08T22:06:19.900Z,3417200
Not Available,2025-07-08T03:19:25Z,Not Available,www.amazon.com,2025-07-08T03:19:25Z,0
Not Available,2025-07-08T03:19:25.500Z,Not Available,www.amazon.com,2025-07-08T02:38:54.900Z,2430600
Not Available,2025-07-08T02:10:47Z,Not Available,www.amazon.com,2025-07-08T02:10:47Z,0
Not Available,2025-07-08T02:10:46.800Z,Not Available,www.amazon.com,2025-07-08T01:18:57.900Z,3108900
Not Available,2025-07-07T05:02:08Z,Not Available,www.amazon.com,2025-07-07T05:02:08Z,0
Not Available,2025-07-07T05:02:07.800Z,Not Available,www.amazon.com,2025-07-07T04:12:58Z,2949800
Not Available,2025-07-06T22:11:18Z,Not Available,www.amazon.com,2025-07-06T22:11:18Z,0
Not Available,2025-07-06T22:11:18.400Z,Not Available,www.amazon.com,2025-07-06T21:05:38Z,3940400
Not Available,2025-07-06T21:02:58Z,Not Available,www.amazon.com,2025-07-06T21:02:58Z,0
Not Available,2025-07-06T21:02:58.600Z,Not Available,www.amazon.com,2025-07-06T20:11:01.600Z,3117000
Not Available,2025-07-06T20:09:24Z,Not Available,www.amazon.com,2025-07-06T20:09:24Z,0
Not Available,2025-07-06T20:09:24.100Z,Not Available,www.amazon.com,2025-07-06T19:59:00.500Z,623600
Not Available,2025-07-06T19:58:41Z,Not Available,www.amazon.com,2025-07-06T19:58:41Z,0
Not Available,2025-07-06T19:58:41.900Z,Not Available,www.amazon.com,2025-07-06T19:57:10.700Z,91200
Not Available,2025-07-06T17:56:52.400Z,Not Available,www.amazon.com,2025-07-06T17:56:42.900Z,9500
Not Available,2025-07-06T03:34:26Z,Not Available,www.amazon.com,2025-07-06T03:34:26Z,0
