Created Timestamp,Preferred Marketplace,Country,Device Family,ASIN
2024-07-31T21:34:45Z,www.amazon.com,US,Kindle E-reader,28C62463866C4CC99233564ED847A1A5
2024-05-13T03:16:19Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-01-12T05:34:07Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-03-30T02:08:10Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-05-11T05:09:35Z,www.amazon.com,US,Kindle E-reader,B0CDKLBD2W
2024-06-08T21:12:08Z,www.amazon.com,US,Kindle E-reader,B0B3Y9JVMK
2024-04-22T07:04:29Z,www.amazon.com,US,Kindle E-reader,B0BJSGV831
2024-05-15T03:45:35Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-06-11T02:39:26Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-02-11T17:55:20Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-15T20:37:08Z,www.amazon.com,US,Kindle E-reader,B003B4IW2U
2024-07-26T19:17:25Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-07-15T22:13:54Z,www.amazon.com,US,Kindle E-reader,B0CH1NHWNW
2024-04-10T03:48:43Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-06-13T03:02:55Z,www.amazon.com,US,Kindle E-reader,Not Available
2023-11-27T21:50:48Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-05-22T22:06:45Z,www.amazon.com,US,Kindle E-reader,B0CDKLBD2W
2024-01-29T14:47:09Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-07-15T22:13:59Z,www.amazon.com,US,Kindle E-reader,B0CH1NHWNW
2024-04-14T21:37:54Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-01-30T04:04:58Z,www.amazon.com,US,Kindle E-reader,Not Available
2023-12-11T17:06:47Z,www.amazon.com,US,Kindle E-reader,B0BR511292
2024-05-09T03:37:16Z,www.amazon.com,US,Kindle E-reader,B0CDKLBD2W
2024-06-11T04:24:10Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-03-05T05:28:07Z,www.amazon.com,US,Kindle E-reader,Not Available
2023-11-21T03:35:45Z,www.amazon.com,US,Kindle E-reader,Not Available
2023-11-05T05:14:52Z,www.amazon.com,US,Kindle E-reader,B0BPX7SF89
2024-05-09T03:37:14Z,www.amazon.com,US,Kindle E-reader,B0CDKLBD2W
2024-08-09T03:32:54Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-08-04T23:44:47Z,www.amazon.com,US,Kindle E-reader,B0CL3FMNKJ
2024-08-04T20:27:05Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-08-04T23:44:46Z,www.amazon.com,US,Kindle E-reader,B0CL3FMNKJ
2024-08-09T03:14:50Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-08-07T21:05:25Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-08-04T20:34:21Z,www.amazon.com,US,Kindle E-reader,Not Available
