Created Timestamp,Preferred Marketplace,Device Family,ASIN,Event Type,Context,Action Id,Widget Layout,Autoshelving Tutorial Shown,Kindle ASIN,Autoshelving Hides By Default,Is Goodreads User,Widget Invoked By,Device Is Offline,Shelf Status
2023-12-20T05:46:01Z,www.amazon.com,Eink,B0B399L6KP,AutoShelving,end_actions,PerformAutoShelving,,No,B0B399L6KP,Yes,Yes,InvokedByBookFinish,No,read
2024-05-10T21:28:10Z,www.amazon.com,Eink,Not Applicable,AutoShelving,start_actions,PerformAutoShelving,,No,B0C97G1ZR6,No,Yes,InvokedByBookOpen,No,currently-reading
2023-12-19T04:48:21Z,www.amazon.com,Eink,B0B399L6KP,AutoShelving,start_actions,PerformAutoShelving,,No,B0B399L6KP,No,Yes,InvokedByBookOpen,No,currently-reading
2024-04-13T22:35:18Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,Yes,B0BXTB6HSN,Yes,Yes,InvokedByBookFinish,No,none
2023-12-20T05:46:08Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,No,B0B399L6KP,Yes,Yes,InvokedByBookFinish,No,read
2024-03-30T02:02:31Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,No,B0BTZRQHJM,Yes,Yes,InvokedByBookFinish,No,read
2024-02-08T21:16:19Z,www.amazon.com,Eink,B09LHBX5KV,ManualShelving,end_actions,PerformManualShelving,,No,B09LHBX5KV,Yes,Yes,InvokedByBookFinish,No,read
2025-01-27T04:23:56Z,www.amazon.com,Eink,B0BL6YQ61Y,AutoShelving,start_actions,PerformAutoShelving,,No,B0BL6YQ61Y,No,Yes,InvokedByBookOpen,No,currently-reading
2023-09-26T01:04:00Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,No,B0BTVBH6G3,Yes,Yes,InvokedByBookFinish,No,read
2023-01-27T00:16:01Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,Yes,B08BYBNGMW,Yes,Yes,InvokedByBookFinish,No,read
2023-10-11T21:15:27Z,www.amazon.com,Eink,B09RMQJCZJ,AutoShelving,start_actions,PerformAutoShelving,,No,B09RMQJCZJ,No,Yes,InvokedByBookOpen,No,currently-reading
2024-04-22T21:45:13Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,Yes,B0BXTB6HSN,Yes,Yes,InvokedByBookFinish,No,none
2023-09-04T01:00:08Z,www.amazon.com,Eink,B092T947PJ,ManualShelving,end_actions,PerformManualShelving,,No,B092T947PJ,Yes,Yes,InvokedByBookFinish,No,read
2024-02-04T03:06:12Z,www.amazon.com,Eink,B0C592RHNC,ManualShelving,end_actions,PerformManualShelving,,No,B0C592RHNC,Yes,Yes,InvokedByBookFinish,No,read
2024-05-13T03:10:34Z,www.amazon.com,Eink,B0BPNP7YQB,ManualShelving,start_actions,PerformManualShelving,,No,B0BPNP7YQB,No,Yes,InvokedByMenu,No,none
2025-02-19T21:32:23Z,www.amazon.com,ThirdPartyAndroid,B081M4F8GH,AutoShelving,start_actions,PerformAutoShelving,,No,B081M4F8GH,No,Yes,InvokedByBookOpen,No,currently-reading
2024-03-30T02:07:51Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,Yes,B0BTZRQHJM,Yes,Yes,InvokedByBookFinish,No,none
2024-04-08T06:37:54Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,No,B0BXTB6HSN,Yes,Yes,InvokedByBookFinish,No,read
2023-04-13T18:30:25Z,www.amazon.com,Eink,B0B1BTJLJN,AutoShelving,start_actions,PerformAutoShelving,,No,B0B1BTJLJN,Yes,Yes,InvokedByBookOpen,No,currently-reading
2025-01-20T18:54:31Z,www.amazon.com,Eink,B0CC1J32NG,AutoShelving,start_actions,PerformAutoShelving,,Yes,B0CC1J32NG,No,Yes,InvokedByBookOpen,No,currently-reading
2023-02-21T05:09:49Z,www.amazon.com,Eink,Not Applicable,AutoShelving,start_actions,PerformAutoShelving,,No,B08NT2VSWF,No,Yes,InvokedByBookOpen,No,currently-reading
2023-03-10T05:12:44Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,Yes,B08QXTPXPH,Yes,Yes,InvokedByBookFinish,No,none
2023-03-29T21:13:59Z,www.amazon.com,Eink,B0B3989NDF,ManualShelving,end_actions,PerformManualShelving,,No,B0B3989NDF,Yes,Yes,InvokedByBookFinish,No,read
2023-09-28T04:16:23Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,No,B0BTVBH6G3,Yes,Yes,InvokedByBookFinish,No,read
2023-03-11T22:08:23Z,www.amazon.com,Eink,B007D1TKAU,AutoShelving,start_actions,PerformAutoShelving,,No,B007D1TKAU,No,Yes,InvokedByBookOpen,No,currently-reading
2023-10-12T06:02:00Z,www.amazon.com,Eink,B0CBW58P3J,AutoShelving,end_actions,PerformAutoShelving,,No,B0CBW58P3J,Yes,Yes,InvokedByBookFinish,No,read
2023-12-13T05:23:40Z,www.amazon.com,Eink,B0B9SN8K6H,AutoShelving,start_actions,PerformAutoShelving,,No,B0B9SN8K6H,Yes,Yes,InvokedByBookOpen,No,currently-reading
2023-01-17T04:44:01Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,Yes,B08BYBNGMW,Yes,Yes,InvokedByBookFinish,No,read
2023-03-09T17:55:42Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,Yes,B08QXTPXPH,Yes,Yes,InvokedByBookFinish,No,read
2023-06-22T02:58:37Z,www.amazon.com,Eink,B0BHTN6TL6,AutoShelving,start_actions,PerformAutoShelving,,No,B0BHTN6TL6,No,Yes,InvokedByBookOpen,No,currently-reading
2023-03-07T04:03:31Z,www.amazon.com,Eink,B09RTYQW2S,AutoShelving,start_actions,PerformAutoShelving,,No,B09RTYQW2S,No,Yes,InvokedByBookOpen,No,currently-reading
2024-03-30T02:06:11Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,No,B0BTZRQHJM,Yes,Yes,InvokedByBookFinish,No,read
2024-04-01T03:41:18Z,www.amazon.com,Eink,B007RMYE9M,AutoShelving,start_actions,PerformAutoShelving,,No,B007RMYE9M,No,Yes,InvokedByBookOpen,No,currently-reading
2023-05-03T00:05:37Z,www.amazon.com,Eink,B084357H23,AutoShelving,end_actions,PerformAutoShelving,,No,B084357H23,Yes,Yes,InvokedByBookFinish,No,read
2023-05-27T18:07:30Z,www.amazon.com,Eink,B098433CGQ,ManualShelving,start_actions,PerformManualShelving,,No,B098433CGQ,No,Yes,InvokedByBookOpen,No,currently-reading
