created_timestamp,preferred_marketplace,country,device_family,ASIN,context,book_count_type,book_count,count_changed
2023-11-04T05:49:30Z,www.amazon.com,US,Kindle E-reader,B0BPX7SF89,Content stored in device,Total Books Downloaded,7,Yes
2025-02-21T22:57:48Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,8,Yes
2025-02-26T10:59:00Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,8,Yes
2024-07-17T22:39:26Z,www.amazon.com,US,Kindle E-reader,B0CH1NHWNW,Content stored in device,Total Books Sideloaded,3,Yes
2025-07-10T22:33:12Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2024-12-06T05:09:09Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,79,Yes
2025-04-04T09:52:22Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,10,Yes
2023-10-12T16:53:20Z,www.amazon.com,US,Kindle E-reader,B004HW7DZ2,Content stored in device,Total Books Sideloaded,4,Yes
2023-04-10T23:44:26Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,2,Yes
2024-04-09T13:41:14Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,3,Yes
2024-08-01T03:51:29Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,3,Yes
2024-11-03T14:11:15Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,80,Yes
2024-06-20T04:22:12Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,84,Yes
2023-05-24T03:19:38Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,Content stored in device,Total Books In Account,95,Yes
2024-04-08T23:18:23Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,3,Yes
2024-10-10T12:48:35Z,www.amazon.com,US,Kindle E-reader,B0CW1J3Y5G,Content stored in device,Total Books In Account,81,Yes
2025-07-27T02:15:14Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,72,Yes
2023-06-07T02:55:29Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,2,Yes
2025-01-24T21:25:20Z,www.amazon.com,US,Kindle E-reader,B0DMDYK6Y6,Content stored in device,Total Books Downloaded,9,Yes
2024-05-08T23:15:53Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,85,Yes
2023-12-23T18:12:15Z,www.amazon.com,US,Kindle E-reader,B0B7NGCGHG,Content stored in device,Total Books Sideloaded,2,Yes
2025-06-09T04:31:07Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,80,Yes
2023-03-30T03:49:18Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,4,Yes
