"Product Name","ASIN","Ownership Type","Ownership Subtype"
"Lipsmackin' Vegetarian Backpackin'","0762725311","Item Owner","Purchase"
"The Trackers: A Search for a Fugitive in Depression-Era America","B0B6JSJQLH","Item Owner","PublicLibraryLending"
"The It Girl","1982155264","Not Interested","GR"
"Apples Never Fall","B08PG6CKZJ","Item Owner","PublicLibraryLending"
"We Share the Sun: The Incredible Journey of Kenya's Legendary Running Coach Patrick Sang and the Fastest Runners on Earth","B0B3Y4RYX6","Not Interested","GR"
"The Appeal: A Novel","B098433CGQ","Not Interested","GR"
"A Calendar of Wisdom: Daily Thoughts to Nourish the Soul, Written and Se","B003L77UKC","Item Owner","KindleUnlimited"
"Mrs. Ted Bliss","B00AG8GXVQ","Item Owner","PublicLibraryLending"
"The Marriage Portrait: Reese's Book Club: A novel","B09RTYQW2S","Item Owner","PublicLibraryLending"
"Birnam Wood: A Novel","B09Y46DSD7","Item Owner","PublicLibraryLending"
"Lapvona: A Novel","B09GW3P1KJ","Item Owner","PublicLibraryLending"
"Blaze Me a Sun: A Novel About a Crime (Halland Suite)","B09XL59MJX","Item Owner","PublicLibraryLending"
"The Invisible Life of Addie LaRue","B084357H23","Item Owner","PublicLibraryLending"
"In the Woods (Dublin Murder Squad, Book 1)","B000U913EI","Item Owner","PublicLibraryLending"
"Saturday Night at the Lakeside Supper Club: A Novel","B0B6Z3LN2D","Item Owner","PublicLibraryLending"
"All the Living and the Dead: From Embalmers to Executioners, an Exploration of the People Who Have Made Death Their Life's Work","B09CNFH5WG","Item Owner","PublicLibraryLending"
"The Wager: A Tale of Shipwreck, Mutiny and Murder","0385534264","Not Interested","GR"
"The Wager: A Tale of Shipwreck, Mutiny and Murder","B0B6Z4SVTH","Not Interested","GR"
"Outlive: The Science and Art of Longevity","B0B1BTJLJN","Item Owner","PublicLibraryLending"
"Pineapple Street: A GMA Book Club Pick: A Novel","B0B3HPSFJ7","Item Owner","PublicLibraryLending"
"Runner's World Run Less Run Faster: Become a Faster, Stronger Runner with the Revolutionary 3-Runs-a-Week Training Program","B087BQ7GK3","Item Owner","PublicLibraryLending"
"Stolen","B0B3Y8DJFJ","Item Owner","PublicLibraryLending"
"How Not to Kill Yourself: A Portrait of the Suicidal Mind","B0B1Y1ZKFX","Item Owner","PublicLibraryLending"
"Palm Beach, Finland","B07HB5DKQX","Not Interested","RC"
"The Man Who Died","B075SPBQDV","Not Interested","RC"
"Running for My Life: One Lost Boy's Journey from the Killing Fields of Sudan to the Olympic Games","B007D1TKAU","Item Owner","PublicLibraryLending"
"The Kind Worth Saving: A Novel","B0B3989NDF","Item Owner","PublicLibraryLending"
"River Woman, River Demon: A Novel","B09YNV5V75","Item Owner","PublicLibraryLending"
"Tomorrow, and Tomorrow, and Tomorrow: A novel","B09JBCGQB8","Item Owner","PublicLibraryLending"
"Killers of a Certain Age","B09N6VX4K7","Item Owner","PublicLibraryLending"
"You're Saying It Wrong: A Pronunciation Guide to the 150 Most Commonly Mispronounced Words--and Their Tangled Histories of Misuse","0399578080","Not Interested","GR"
"The Last Mona Lisa: A Novel","B08QXTPXPH","Item Owner","PublicLibraryLending"
"How the Word Is Passed: A Reckoning with the History of Slavery Across America","B08KQ4W18H","Item Owner","PublicLibraryLending"
"66 Metres: A chilling thriller that will keep you on the edge of your seat! (Nadia Laksheva Spy Thriller Series, Book 1)","B01HLY0Z0W","Item Owner","PublicLibraryLending"
"Wrong Place Wrong Time: A Novel","B09NW4FN2R","Item Owner","PublicLibraryLending"
