created_timestamp,preferred_marketplace,country,device_family,ASIN,User Action,Context,Gesture
2024-10-29T22:08:32Z,www.amazon.com,US,Kindle E-reader,2EUPLKIM7ATSLPXWBOUA4B2L66BXKDTV,exitBook,In-book,Tap
2024-02-04T03:06:58Z,www.amazon.com,US,Kindle E-reader,B0C592RHNC,exitBook,In-book,Tap
2023-12-31T04:53:50Z,www.amazon.com,US,Kindle E-reader,B09Y467GZY,exitBook,In-book,Tap
2024-06-06T21:55:47Z,www.amazon.com,US,Kindle E-reader,Not Available,Home,KPP_HOME,Tap
2024-07-15T22:10:23Z,www.amazon.com,US,Kindle E-reader,2C4B5A07F41247DAAF830F1590836876,Menu,In-book,Tap
2025-04-21T22:25:09Z,www.amazon.com,US,Kindle E-reader,Not Available,Search,Store,Tap
2025-02-06T21:39:16Z,www.amazon.com,US,Kindle E-reader,OEEFKAZSYAYOEA57JWRZYSEGYRAUE75X,exitBook,In-book,Tap
2024-02-15T03:15:39Z,www.amazon.com,US,Kindle E-reader,B07HDT9JFX,Goto,In-book,Tap
2024-10-07T22:37:37Z,www.amazon.com,US,Kindle E-reader,ZPWKCGLPBBCYS2KJQQBLM6VSBP3NWID3,exitBook,In-book,Tap
2025-01-30T04:25:55Z,www.amazon.com,US,Kindle E-reader,2EUPLKIM7ATSLPXWBOUA4B2L66BXKDTV,Goto,In-book,Tap
2025-05-27T22:07:45Z,www.amazon.com,US,Kindle E-reader,Not Available,Menu,In-book,Tap
2023-02-05T04:29:03Z,www.amazon.com,US,Kindle E-reader,B09NTK9WDQ,exitBook,In-book,Tap
2023-12-23T18:11:07Z,www.amazon.com,US,Kindle E-reader,B09Y467GZY,exitBook,In-book,Tap
2023-01-12T05:35:17Z,www.amazon.com,US,Kindle E-reader,Not Available,Home,KPP_LIBRARY,Tap
2023-06-07T02:59:22Z,www.amazon.com,US,Kindle E-reader,B09XBGYWSR,Menu,In-book,Tap
2023-04-13T18:28:29Z,www.amazon.com,US,Kindle E-reader,B000U913EI,exitBook,In-book,Tap
2023-12-21T06:13:53Z,www.amazon.com,US,Kindle E-reader,Not Available,Library,KPP_HOME,Tap
2024-07-15T22:18:56Z,www.amazon.com,US,Kindle E-reader,B0CH1NHWNW,exitBook,In-book,Tap
2024-05-05T21:11:37Z,www.amazon.com,US,Kindle E-reader,B0CDKLBD2W,exitBook,In-book,Tap
2023-04-13T18:29:56Z,www.amazon.com,US,Kindle E-reader,B003L77UKC,exitBook,In-book,Tap
2023-12-01T04:09:09Z,www.amazon.com,US,Kindle E-reader,B0BR511292,exitBook,In-book,Tap
