created_timestamp,preferred_marketplace,country,device_family,ASIN,Actions,Kindle Special Offers Status
2023-05-18T04:29:52Z,www.amazon.com,US,Kindle E-reader,B08D4QJRY2,transition to screen saver,Kindle Special Offers enabled
2023-07-27T19:36:08Z,www.amazon.com,US,Kindle E-reader,B084G9Z5C3,exiting lock screen,Kindle Special Offers enabled
2023-03-02T04:19:38Z,www.amazon.com,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers enabled
2023-05-09T21:50:19Z,www.amazon.com,US,Kindle E-reader,B0BBCB6PFC,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-04-09T03:59:08Z,www.amazon.com,US,Kindle E-reader,B07HB5DKQX,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-02-01T19:31:25Z,www.amazon.com,US,Kindle E-reader,B09NTK9WDQ,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-05-06T05:10:23Z,www.amazon.com,US,Kindle E-reader,B084357H23,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-02-20T02:26:44Z,www.amazon.com,US,Kindle E-reader,B01COJUEZ0,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-06-15T23:21:41Z,www.amazon.com,US,Kindle E-reader,B0BHCXVWGT,transition to screen saver,Kindle Special Offers enabled
2023-03-20T03:42:49Z,www.amazon.com,US,Kindle E-reader,B0B3Y8DJFJ,transition to screen saver,Kindle Special Offers enabled
2023-06-03T17:24:46Z,www.amazon.com,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers enabled
2023-04-27T22:14:49Z,www.amazon.com,US,Kindle E-reader,B0B6Z3LN2D,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-02-05T17:09:41Z,www.amazon.com,US,Kindle E-reader,B09NTK9WDQ,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-03-29T17:55:09Z,www.amazon.com,US,Kindle E-reader,B0B3989NDF,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-02-15T22:29:19Z,www.amazon.com,US,Kindle E-reader,B01COJUEZ0,transition to screen saver,Kindle Special Offers enabled
2023-05-20T04:29:27Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,transition to screen saver,Kindle Special Offers enabled
2023-05-08T03:24:28Z,www.amazon.com,US,Kindle E-reader,B084357H23,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-04-17T20:37:22Z,www.amazon.com,US,Kindle E-reader,B000U913EI,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-03-11T17:02:45Z,www.amazon.com,US,Kindle E-reader,B09N6VX4K7,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-07-04T22:37:14Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-07-04T22:37:17Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,exiting lock screen,Kindle Special Offers enabled
2023-06-03T03:25:25Z,www.amazon.com,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-06-28T21:54:56Z,www.amazon.com,US,Kindle E-reader,B0B7NDZNDV,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-06-15T01:49:50Z,www.amazon.com,US,Kindle E-reader,B0BHCXVWGT,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-06-13T22:38:07Z,www.amazon.com,US,Kindle E-reader,B0BBCB6PFC,transition to screen saver,Kindle Special Offers enabled
2023-06-26T21:35:02Z,www.amazon.com,US,Kindle E-reader,B0BHTN6TL6,transition from hibernate to lock screen,Kindle Special Offers enabled
