"Product Name","ASIN","Author ID"
"Lay Your Body Down: A Novel of Suspense","B09721CTG1","B08V91P1Y9"
"The Plotters: A Novel","B07CWDMQ45","B01B9S511O"
"Smarter Not Harder: The Biohacker's Guide to Getting the Body and Mind You Want","B0B399L6KP","B00A1VAH5Q"
"Four Thousand Weeks: Time Management for Mortals","B08FGV64B1","B004DJDK1U"
"Yellowface: A Chilling Novel of Racism and Cultural Appropriation from the author of Katabasis","B0B9SN8K6H","B0788VXRHP"
"Wellness: A Novel (Oprah's Book Club)","B0BR511292","B01FBNAT06"
"The Mystery Guest: A Maid Novel (Molly the Maid Book 2)","B0C5LRCM2F","B096BLV2JQ"
"Fast After 50: How to Race Strong for the Rest of Your Life","1937715264","B001JP0ANM"
"The Spy Who Came in from the Cold: A George Smiley Novel (George Smiley Novels Book 3)","B006CUDDUG","B000APC3LO"
"The Spy Who Came in from the Cold: A George Smiley Novel (George Smiley Novels Book 3)","B006CUDDUG","B005Q05URM"
"I Have Some Questions for You: A Novel","B09ZRWP8DS","B004GZJEM0"
"The Longest Race: Inside the Secret World of Abuse, Doping, and Deception on Nike's Elite Running Team","1982179147","B004GR3HW6"
"Beastie Boys Book","0812995546","B07JLWB4QT"
"Beastie Boys Book","0812995546","B0DHH3KH9F"
"North Woods: A Novel","B0BPX7SF89","B001IQZBKY"
"Chain Gang All Stars: A Read with Jenna Pick: National Book Award Finalist","B0B5ST3XX4","B07C45XZH3"
"Starter Villain","B0B9KVXCQ6","B001IGJOCA"
"Breaking and Entering","B0BKH7G2X8","B001HCYQG4"
"Slow Horses (Slough House Book 1)","B004HW7DZ2","B001JP3TOY"
"Trust (Pulitzer Prize Winner)","B09BV2JNWV","B00U9P6ROO"
"No One Will Miss Her: A Dark and Compelling Mystery with a Devious Plot, Get Ready to Unravel the Secrets!","B08SMFSLVQ","B005QU9U00"
"The Sullivanians: Sex, Psychotherapy, and the Wild Life of an American Commune","B0BBC769LV","B000AP7XGO"
"Somebody's Fool: A novel (North Bath Trilogy Book 3)","B0BKKVQPLB","B000AQ0EIM"
"The Rise: A Short Story","B0CBW58P3J","B000AQ6XQE"
"The Fraud: A Novel","B0BP66G6B7","B001D0P4CA"
"How Can I Help You","B0BJNKTFGH","B003GBCHVU"
"The Last Devil to Die: A Thursday Murder Club Mystery (Thursday Murder Club Mysteries Book 4)","B0BQLKNTYR","B074KL81KM"
"The Vaster Wilds: A Novel","B0BTVBH6G3","B001JS4QVG"
"The Girl in the Eagle's Talons: A Lisbeth Salander Novel (The Girl with the Dragon Tattoo (Lisbeth Salander / Millennium) Book 7)","B0BLY7J9DC","B0C5RWKXF3"
"What You Are Looking For Is in the Library: A Touching Narrative of Self-Discovery, Community Bonds and the Joys of Reading in Tokyo's Libraries","B0BT82YGGF","B09XVCS578"
"Small World: A Novel","B08T6CL58V","B001JP2P1W"
"The Golden Couple: A Novel","B092T947PJ","B002FYZBVM"
"The Golden Couple: A Novel","B092T947PJ","B07C9RJK1F"
"Ella Minnow Pea: A Novel in Letters","0385722435","B001IGQK2W"
"How Minds Change: The Surprising Science of Belief, Opinion, and Persuasion","B093R2CP2V","B005T65KZA"
"Path Lit by Lightning: The Life of Jim Thorpe","B09JPFYQY2","B000APJ88U"
"Tom Lake: A Reese’s Book Club Pick","B0BL126WSH","B000AQ6QAW"
"Good Family","1250810175","B07567W7ZV"
"The School of Hard Talks: How to Have Real Conversations with Your (Almost Grown) Kids","1632174707","B0BGMKHJ73"
"I Am Homeless If This Is Not My Home: A novel","B0BG13PH57","B000APWFEY"
"National Geographic Guide to National Parks of the United States, 8th Edition (National Geographic Guide to the National Parks of the United States)","B016TG0SAK","B000AP861U"
"National Geographic Guide to National Parks of the United States, 8th Edition (National Geographic Guide to the National Parks of the United States)","B016TG0SAK","B001JP2H5G"
"One by One","B084G9Z5C3","B00OA8QDT0"
"The Art Thief: A True Story of Love, Crime, and a Dangerous Obsession","0525657320","B004MKZKYA"
"Rabbits for Food","B07GD51NCJ","B000APURZS"
"Choosing to Run: A Memoir","0593186648","B0BC994267"
"Zero Days","B0BHTN6TL6","B00OA8QDT0"
"Small Mercies: A Detective Mystery","B0B7NDZNDV","B00LMXVRD8"
"Going Zero: A Novel","006322707X","B001K85M6S"
"Code Name Blue Wren: The True Story of America's Most Dangerous Female Spy—and the Sister She Betrayed","B09XBGYWSR","B0BJ7QV1Y1"
"Gone to the Wolves: A Novel","0374603332","B001H9RT48"
"My Murder: A Novel","B0BHCXVWGT","B00KQHE69I"
"How to Survive: Self-Reliance in Extreme Circumstances","B08D4QJRY2","B07Q5QCB2W"
"The Celebrants: A Read with Jenna Pick: A Novel","B0B9WRWFH6","B076HBY6PY"
"The Dirty Tricks Department: Stanley Lovell, the OSS, and the Masterminds of World War II Secret Warfare","1250280249","B0BCC93C3F"
"The Trackers: A Search for a Fugitive in Depression-Era America","B0B6JSJQLH","B000AQ73IQ"
"The It Girl","1982155264","B00OA8QDT0"
"Apples Never Fall","B08PG6CKZJ","B00459IA54"
"We Share the Sun: The Incredible Journey of Kenya's Legendary Running Coach Patrick Sang and the Fastest Runners on Earth","B0B3Y4RYX6","B0BZTC13ZJ"
"The Appeal: A Novel","B098433CGQ","B08FRJK6WG"
"Mrs. Ted Bliss","B00AG8GXVQ","B000APUV9U"
"The Marriage Portrait: Reese's Book Club: A novel","B09RTYQW2S","B001H6IT1S"
"Birnam Wood: A Novel","B09Y46DSD7","B0034O4XWA"
"Lapvona: A Novel","B09GW3P1KJ","B00MC7025W"
"Blaze Me a Sun: A Novel About a Crime (Halland Suite)","B09XL59MJX","B00JDWVMKS"
"The Invisible Life of Addie LaRue","B084357H23","B00MLKA3WM"
"In the Woods (Dublin Murder Squad, Book 1)","B000U913EI","B001H6IGWU"
"Saturday Night at the Lakeside Supper Club: A Novel","B0B6Z3LN2D","B010XYMBEK"
"All the Living and the Dead: From Embalmers to Executioners, an Exploration of the People Who Have Made Death Their Life's Work","B09CNFH5WG","B00U9P1RHQ"
"The Wager: A Tale of Shipwreck, Mutiny and Murder","0385534264","B001YDEZJO"
"The Wager: A Tale of Shipwreck, Mutiny and Murder","B0B6Z4SVTH","B001YDEZJO"
"Outlive: The Science and Art of Longevity","B0B1BTJLJN","B00NB4VX76"
"Outlive: The Science and Art of Longevity","B0B1BTJLJN","B0BL8JY16Q"
"Pineapple Street: A GMA Book Club Pick: A Novel","B0B3HPSFJ7","B07KX6QLCH"
"Runner's World Run Less Run Faster: Become a Faster, Stronger Runner with the Revolutionary 3-Runs-a-Week Training Program","B087BQ7GK3","B001JP2G5M"
"Stolen","B0B3Y8DJFJ","B0B75GSX7V"
"How Not to Kill Yourself: A Portrait of the Suicidal Mind","B0B1Y1ZKFX","B001IOH5B4"
"Palm Beach, Finland","B07HB5DKQX","B009SQPAZM"
"The Man Who Died","B075SPBQDV","B009SQPAZM"
"Running for My Life: One Lost Boy's Journey from the Killing Fields of Sudan to the Olympic Games","B007D1TKAU","B00DWWVFW0"
"The Kind Worth Saving: A Novel","B0B3989NDF","B00E5TKWX2"
"River Woman, River Demon: A Novel","B09YNV5V75","B01M0NL4ZY"
"Tomorrow, and Tomorrow, and Tomorrow: A novel","B09JBCGQB8","B001IGJWR2"
"Killers of a Certain Age","B09N6VX4K7","B001H6IPEY"
"You're Saying It Wrong: A Pronunciation Guide to the 150 Most Commonly Mispronounced Words--and Their Tangled Histories of Misuse","0399578080","B001H6OGO2"
