campaign,preferred_marketplace,country,device_family,kindle_software_version,session_id,campaign_status,last_used_ASIN,home_page_number,campaign_display_position
2024-09-12T22:12:55.066Z,www.amazon.com,US,Kindle E-reader,4270250001,131-0015325-6370956,displayed,5XMZNFFBFJGCDIF7CF2TJMLGHI2DH2MZ,1,2
2025-06-23T23:48:16.547Z,www.amazon.com,US,Kindle E-reader,4417610025,131-0015325-6370956,displayed,B0D9F3KFPM,1,2
2024-12-06T03:51:52.687Z,www.amazon.com,US,Kindle E-reader,4320330039,131-0015325-6370956,displayed,Not Available,1,2
2025-02-22T06:40:51.695Z,www.amazon.com,US,Kindle E-reader,4351860007,Not Applicable,displayed,4LXTLEYZY7L7ETOIXN5BEITXMZHJAT2H,1,1
2024-11-04T04:24:14.239Z,www.amazon.com,US,Kindle E-reader,4289730037,131-0015325-6370956,displayed,2EUPLKIM7ATSLPXWBOUA4B2L66BXKDTV,1,2
2024-09-01T18:54:18.096Z,www.amazon.com,US,Kindle E-reader,4270250001,131-0015325-6370956,displayed,Not Available,1,2
2025-03-25T21:54:30.245Z,www.amazon.com,US,Kindle E-reader,4351860007,Not Applicable,displayed,Not Available,1,1
2024-11-07T03:39:06.905Z,www.amazon.com,US,Kindle E-reader,4289730037,Not Applicable,displayed,Q2GMDSWTP3KRSTVF5WHAONVIHS325UHL,1,1
2024-08-16T23:48:29.133Z,www.amazon.com,US,Kindle E-reader,4270250001,131-0015325-6370956,displayed,Not Available,7,14
2025-02-16T04:34:00.540Z,www.amazon.com,US,Kindle E-reader,4351860007,131-0015325-6370956,displayed,LHXKLEWH52LWXBSOBOTMRLRJ2CONAJCC,1,2
2025-02-18T22:03:00.646Z,www.amazon.com,US,Kindle E-reader,4351860007,Not Applicable,displayed,Not Available,1,1
2025-05-08T03:22:33.276Z,www.amazon.com,US,Kindle E-reader,4417610025,131-0015325-6370956,displayed,Not Available,1,2
2025-07-31T03:13:41.453Z,www.amazon.com,US,Kindle E-reader,4417610025,Not Applicable,displayed,Not Available,1,1
2024-09-13T00:32:03.097Z,www.amazon.com,US,Kindle E-reader,4270250001,Not Applicable,displayed,CFB210D125DE496195B7AE70BACDA51C,1,1
2024-11-05T22:22:59.614Z,www.amazon.com,US,Kindle E-reader,4289730037,131-0015325-6370956,displayed,Not Available,1,0
2025-06-12T21:43:33.722Z,www.amazon.com,US,Kindle E-reader,4417610025,131-0015325-6370956,displayed,ZPDUB3GM3WAX336MUVRJXWWZQKSYRZ4H,1,2
2025-05-06T03:39:12.011Z,www.amazon.com,US,Kindle E-reader,4417610025,131-0015325-6370956,displayed,Not Available,2,4
2025-06-24T04:14:33.353Z,www.amazon.com,US,Kindle E-reader,4417610025,Not Applicable,displayed,B0D9F3KFPM,1,1
2024-08-27T05:01:38.454Z,www.amazon.com,US,Kindle E-reader,4270250001,Not Applicable,displayed,Not Available,1,1
2025-03-23T03:56:36.009Z,www.amazon.com,US,Kindle E-reader,4351860007,131-0015325-6370956,displayed,Not Available,1,0
2025-01-16T00:02:08.161Z,www.amazon.com,US,Kindle E-reader,4351860007,Not Applicable,displayed,LH2FCVKSFLIA3RE4365AAGYFG76TA7UI,1,1
2025-01-20T05:30:05.501Z,www.amazon.com,US,Kindle E-reader,4351860007,Not Applicable,displayed,6LUZMQAT5HFFSBK25OZR3TWRUJ5BDIZS,1,1
2024-08-09T03:16:58.886Z,www.amazon.com,US,Kindle E-reader,4270250001,131-0015325-6370956,displayed,Not Available,4,7
2025-02-28T00:50:19.614Z,www.amazon.com,US,Kindle E-reader,4351860007,Not Applicable,displayed,Not Available,1,1
2025-07-01T02:37:18.929Z,www.amazon.com,US,Kindle E-reader,4417610025,Not Applicable,displayed,43ORQUG7AE42E3A2GE6TJRETZGVMQIFX,1,1
2025-01-10T04:22:47.324Z,www.amazon.com,US,Kindle E-reader,4351860007,131-0015325-6370956,displayed,Not Available,1,0
2025-06-23T23:50:20.985Z,www.amazon.com,US,Kindle E-reader,4417610025,131-0015325-6370956,displayed,Not Available,7,14
2024-08-09T03:16:49.244Z,www.amazon.com,US,Kindle E-reader,4270250001,Not Applicable,displayed,Not Available,3,5
2025-01-15T05:10:30.414Z,www.amazon.com,US,Kindle E-reader,4351860007,Not Applicable,displayed,Not Available,1,1
2025-03-11T04:50:06.729Z,www.amazon.com,US,Kindle E-reader,4351860007,131-0015325-6370956,displayed,Not Available,1,0
2025-05-27T22:26:49.635Z,www.amazon.com,US,Kindle E-reader,4417610025,Not Applicable,displayed,Not Available,1,1
2025-03-07T04:15:08.651Z,www.amazon.com,US,Kindle E-reader,4351860007,131-0015325-6370956,displayed,CJJUL3R7HSOXJG3AYG7MQZN3CZZWMZL5,1,2
2024-08-20T03:59:56.094Z,www.amazon.com,US,Kindle E-reader,4270250001,Not Applicable,displayed,43CBE4C46DC444119BB4453B4EF2473B,1,1
2025-05-06T03:34:37.232Z,www.amazon.com,US,Kindle E-reader,4417610025,131-0015325-6370956,displayed,Not Available,1,2
2025-06-23T23:50:26.645Z,www.amazon.com,US,Kindle E-reader,4417610025,131-0015325-6370956,displayed,Not Available,8,15
2025-04-21T22:16:39.257Z,www.amazon.com,US,Kindle E-reader,4417610025,Not Applicable,displayed,B0D3CBLLPH,1,1
2024-11-03T04:26:02.559Z,www.amazon.com,US,Kindle E-reader,4289730037,Not Applicable,displayed,Not Available,1,1
2025-02-21T22:56:56.462Z,www.amazon.com,US,Kindle E-reader,4351860007,Not Applicable,displayed,Not Available,1,1
2025-06-24T00:02:24.930Z,www.amazon.com,US,Kindle E-reader,4417610025,Not Applicable,displayed,Not Available,1,1
