country,created_timestamp,preferred_marketplace,device_family,ASIN,customer_action,desired_page_location
US,2023-12-13T21:54:53Z,www.amazon.com,Kindle E-reader,Not Available,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2023-08-28T17:52:28Z,www.amazon.com,Kindle E-reader,Not Available,Already at Most Recent Page Read,Not Available
US,2023-11-09T04:35:43Z,www.amazon.com,Kindle E-reader,B07CWDMQ45,Tap on Most Recent Page Read Title,Last Page Read
US,2023-10-05T21:36:43Z,www.amazon.com,Kindle E-reader,B0BP66G6B7,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-02-22T21:20:30Z,www.amazon.com,Kindle E-reader,B0044781ZQ,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2023-10-10T03:38:37Z,www.amazon.com,Kindle E-reader,B0BBC9K8C3,Current Last Page Read Not Present,Not Available
US,2023-08-19T04:27:59Z,www.amazon.com,Kindle E-reader,Not Available,Already at Most Recent Page Read,Not Available
US,2023-11-27T21:50:56Z,www.amazon.com,Kindle E-reader,Not Available,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2023-10-05T21:36:43Z,www.amazon.com,Kindle E-reader,B0BP66G6B7,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-05-05T21:11:27Z,www.amazon.com,Kindle E-reader,B0CDKLBD2W,Tap on Most Recent Page Read Title,Last Page Read
US,2024-07-25T20:40:32Z,www.amazon.com,Kindle E-reader,B0C7729CF8,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-02-03T06:12:19Z,www.amazon.com,Kindle E-reader,B0C592RHNC,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-06-17T03:56:23Z,www.amazon.com,Kindle E-reader,Not Available,Reading Navigation Toolbar Inside Book is Invoked,Last Page Read
US,2023-08-07T21:37:07Z,www.amazon.com,Kindle E-reader,B0BH4QWM85,Already at Most Recent Page Read,Not Available
US,2023-12-13T21:54:55Z,www.amazon.com,Kindle E-reader,B0BR511292,Tap on Most Recent Page Read Title,Last Page Read
US,2024-02-21T04:35:21Z,www.amazon.com,Kindle E-reader,B0CLQVQSVL,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2023-09-28T04:09:52Z,www.amazon.com,Kindle E-reader,B0BQLKNTYR,Tap on Most Recent Page Read Title,Last Page Read
US,2024-06-01T17:43:27Z,www.amazon.com,Kindle E-reader,B09X34KMRM,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-06-17T03:56:22Z,www.amazon.com,Kindle E-reader,Not Available,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
