country,created_timestamp,device_family,preferred_marketplace,ASIN,page_where_dialog_was_shown,customer_action,number_of_pages_swiped_while_dialog_is_displayed
US,2023-04-23T04:47:51Z,Kindle E-reader,www.amazon.com,B003L77UKC,Last Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2023-05-01T20:42:14Z,Kindle E-reader,www.amazon.com,B003L77UKC,Most Recent Page Read,Forward Page Swipe in Progressbar,10
US,2023-06-26T21:35:14Z,Kindle E-reader,www.amazon.com,B0BHTN6TL6,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2023-05-01T20:43:36Z,Kindle E-reader,www.amazon.com,B003L77UKC,Most Recent Page Read,Forward Page Swipe in Progressbar,17
US,2023-05-01T20:43:59Z,Kindle E-reader,www.amazon.com,B003L77UKC,Most Recent Page Read,Forward Page Swipe in Progressbar,19
US,2023-04-14T21:13:33Z,Kindle E-reader,www.amazon.com,B000U913EI,Last Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2023-05-01T20:39:51Z,Kindle E-reader,www.amazon.com,B003L77UKC,Most Recent Page Read,Forward Page Swipe in Progressbar,1
US,2023-05-01T20:39:53Z,Kindle E-reader,www.amazon.com,B003L77UKC,Most Recent Page Read,Forward Page Swipe in Progressbar,2
US,2023-05-01T20:40:57Z,Kindle E-reader,www.amazon.com,B003L77UKC,Most Recent Page Read,Forward Page Swipe in Progressbar,6
US,2023-05-01T20:42:54Z,Kindle E-reader,www.amazon.com,B003L77UKC,Most Recent Page Read,Forward Page Swipe in Progressbar,12
US,2023-05-01T20:40:13Z,Kindle E-reader,www.amazon.com,B003L77UKC,Most Recent Page Read,Forward Page Swipe in Progressbar,3
US,2023-05-01T20:43:52Z,Kindle E-reader,www.amazon.com,B003L77UKC,Most Recent Page Read,Forward Page Swipe in Progressbar,18
US,2023-02-05T04:29:28Z,Kindle E-reader,www.amazon.com,B003L77UKC,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2023-03-01T19:53:39Z,Kindle E-reader,www.amazon.com,B08QXTPXPH,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2023-05-01T20:42:06Z,Kindle E-reader,www.amazon.com,B003L77UKC,Most Recent Page Read,Forward Page Swipe in Progressbar,9
US,2023-06-14T23:02:19Z,Kindle E-reader,www.amazon.com,B000GCFX6S,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2023-03-30T05:08:40Z,Kindle E-reader,www.amazon.com,B0B3Y8DJFJ,Last Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2023-06-08T01:10:09Z,Kindle E-reader,www.amazon.com,B09XBGYWSR,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2023-01-08T04:42:03Z,Kindle E-reader,www.amazon.com,B09QMHZ53K,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,-511
US,2023-04-25T23:23:39Z,Kindle E-reader,www.amazon.com,B0B6Z3LN2D,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2023-01-08T04:42:00Z,Kindle E-reader,www.amazon.com,B09QMHZ53K,Most Recent Page Read,Backward Page Swipe in Progressbar,1
US,2023-05-01T20:42:55Z,Kindle E-reader,www.amazon.com,B003L77UKC,Most Recent Page Read,Forward Page Swipe in Progressbar,13
US,2023-05-01T20:40:51Z,Kindle E-reader,www.amazon.com,B003L77UKC,Most Recent Page Read,Forward Page Swipe in Progressbar,5
