Creation Date,Amazon Marketplace,ASIN,Product Name,Browse Node,StoreUrl,Device Serial Number,Device Platform,Display Status
2025-08-01T21:52:16Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/achievements/dp/1f73362e-7376-4a29-8a5e-d945a870d63f?ref=kc-su-hs-cp,CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-08-01T00:22:21Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/achievements/dp/92f0437c-599b-491f-b36f-0dbde9c90d32?ref=kc-sp-sr-pr,CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-07-31T18:35:48Z,www.amazon.com,B06WP486XH,The Midnight Line: A Jack Reacher Novel,"""Not Applicable""","""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-07-31T18:35:48Z,www.amazon.com,B06WP486XH,The Midnight Line: A Jack Reacher Novel,"""Not Applicable""","""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-07-31T18:35:48Z,www.amazon.com,B06WP486XH,The Midnight Line: A Jack Reacher Novel (English Edition),"""Not Applicable""","""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-07-26T19:07:10Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/achievements/dp/604f341e-c6a7-4040-9a6c-3fc77050fb86?ref=kc-su-pw-cp,CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-07-25T16:32:12Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/kindlerewards/push/dpd3?ref=kr_krb_dpd,CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-07-25T15:40:34Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/achievements/dp/64fdd16e-52e7-431d-b5b0-1cad3d11ea09?ref=kc-sp-pw-pr,CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-07-24T19:00:28Z,www.amazon.com,B08KH32L1B,Black Snow,"""Not Applicable""","""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-07-24T19:00:28Z,www.amazon.com,B08KH32L1B,Black Snow,"""Not Applicable""","""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
