asin_date_and_content_type,product_name
B08G1NJK2R_2022-04-15_AUTOMATIC,The Cartographers: A Novel
B08JKC299M_2022-04-24_AUTOMATIC,The Plot: A Novel (The Book Series 1)
B08L3P3VGQ_2022-03-04_AUTOMATIC,Appleseed: A Novel
B08P98PVY2_2022-06-25_AUTOMATIC,The Guide: A novel
B08PY1XTB8_2022-05-08_AUTOMATIC,Several People Are Typing: A GMA Book Club Pick
B08QM8VHRT_2022-03-16_AUTOMATIC,When We Cease to Understand the World
B08RZ4PTSF_2021-11-03_AUTOMATIC,Running Is a Kind of Dreaming: A Memoir
B08SJQSWYM_2021-11-03_AUTOMATIC,The Night the Lights Went Out: A Memoir of Life After Brain Damage
B08TRMSR3Z_2022-01-13_AUTOMATIC,Cloud Cuckoo Land: A Novel
B08VRP55V1_2022-02-04_AUTOMATIC,Our Country Friends: A Novel
B08XP24KR8_2021-10-25_AUTOMATIC,Fuzz: When Nature Breaks the Law
B091Y4KGFH_2022-05-09_AUTOMATIC,The Maid: A GMA Book Club Pick: A Novel (Molly the Maid 1)
B095MMJYSR_2022-05-23_AUTOMATIC,The Swimmers: A novel (CARNEGIE MEDAL FOR EXCELLENCE WINNER)
B095YHMBSL_2021-07-25_MANUAL,Esquire
B0987XFGZF_2021-08-02_MANUAL,Scientific American Magazine
B098GBS3BH_2021-07-24_MANUAL,Runner's World
B098PXP11K_2022-04-18_AUTOMATIC,Riverman: An American Odyssey
B098QS47D3_2022-06-12_AUTOMATIC,The Paris Apartment: A Novel
B099DRHTLX_2022-05-13_AUTOMATIC,Sea of Tranquility: A novel
B09D3K2MCY_2021-08-23_MANUAL,Esquire
B09F8RV343_2021-09-05_MANUAL,Runner's World
B09KKPHDHC_2021-11-03_MANUAL,Runner's World
B09LM328XY_2022-02-28_AUTOMATIC,Not Available
B09Q1SQ567_2022-06-03_AUTOMATIC,Not Available
B09QCX4JK7_2022-06-03_AUTOMATIC,Not Available
B09T9H87RB_2022-03-04_MANUAL,Runner's World
B09Z1Y1MG9_2022-06-06_MANUAL,Runner's World
