Device Serial Number,CustomerType,DeviceAccountRole,AccountName,FirstTimeRegistered,LastTimeRegistered,TimeDeregistered,State,CurrentFirmwareVersion,DeviceModel,Amazon Device Model Name,LocalTimeOffset,IpAddress,CustomerLoginPool,DevicePairingDetails
Third party device/Application,ADULT,PRIMARY,Pixel,2017-04-26T18:20:45.068Z,2017-04-26T18:20:45.068Z,2019-12-17T15:28:56.542Z,INACTIVE,0,Pixel,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Andrew's 2nd Android Device,2017-04-18T19:52:16.993Z,2017-04-18T19:52:16.993Z,2017-09-02T13:04:31.985Z,INACTIVE,0,Pixel,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Andrew's 2nd Android Device,2017-04-18T19:52:15.647Z,2017-04-18T19:52:15.647Z,2017-09-02T13:04:31.985Z,INACTIVE,0,Pixel,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Andrew's Android Device,2016-12-24T22:59:35.179Z,2016-12-24T22:59:35.179Z,2017-09-02T13:04:39.153Z,INACTIVE,0,Pixel,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Andrew's 2nd Android Device (MP3),2016-12-24T05:03:50.644Z,2016-12-24T05:03:50.644Z,Not Available,ACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
G000KU06635704PV,ADULT,PRIMARY,Andrew's Amazon Device,2016-12-24T04:00:48.417Z,2016-12-24T04:00:48.417Z,Not Available,ACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
G000KU06635704PV,ADULT,PRIMARY,Andrew's kindle,2016-12-24T03:56:55.187Z,2022-04-06T11:49:49.732Z,Not Available,ACTIVE,0,Not Available,Not Available,Not Available,71.82.235.154,Amazon,Not Applicable
G000KU06635704PV,ADULT,PRIMARY,Andrew's kindle,2016-12-24T03:56:55.187Z,2022-04-06T11:49:49.732Z,Not Available,ACTIVE,0,Not Available,Not Available,Not Available,71.82.235.154,Not Available,Not Applicable
G000KU06635704PV,ADULT,PRIMARY,Andrew's kindle,2016-12-24T03:56:55.187Z,2022-04-06T11:49:49.732Z,Not Available,ACTIVE,0,Not Available,Not Available,Not Available,71.82.235.154,Not Available,Not Applicable
G000KU06635704PV,ADULT,PRIMARY,Andrew's kindle,2016-12-24T03:56:55.176Z,2022-04-06T11:49:49.732Z,Not Available,ACTIVE,626542120,Not Available,Not Available,-300mm,71.82.235.154,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Andrew's Android Device,2016-11-29T13:18:42.832Z,2016-11-29T13:18:42.832Z,2017-09-02T13:04:39.153Z,INACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Andrew's Android Device,2016-11-22T13:33:10.282Z,2016-11-22T13:33:10.282Z,2017-09-02T13:04:39.153Z,INACTIVE,0,Pixel,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Andrew's Audible for Android,2016-07-14T16:27:16.982Z,2016-07-14T16:27:16.982Z,2019-12-17T15:29:30.616Z,INACTIVE,0,XT1096,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,aosmond’s iPad,2016-04-26T19:38:37.806Z,2016-04-26T19:38:37.806Z,2025-05-10T14:46:35.309Z,INACTIVE,0,iPad,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Andrew's Moto X,2016-04-26T15:43:25.163Z,2016-04-26T15:43:25.163Z,2016-11-21T14:45:49.159Z,INACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Andrew's Roku,2016-04-13T22:18:33.754Z,2016-04-13T22:18:33.754Z,Not Available,ACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Andrew's LG TV,2015-12-12T23:25:48.080Z,2015-12-12T23:25:48.080Z,Not Available,ACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Andrew's Moto X,2015-07-10T15:48:14.239Z,2015-07-10T15:48:14.239Z,2016-11-21T14:45:49.159Z,INACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Andrew's Moto X,2015-02-10T18:13:10.376Z,2015-02-10T18:13:10.376Z,2016-11-21T14:45:49.159Z,INACTIVE,0,XT1096,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Andrew's Moto X,2015-02-10T18:13:06.760Z,2015-02-10T18:13:06.760Z,2016-11-21T14:45:49.159Z,INACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Andrew's PC,2014-06-03T17:25:33.553Z,2014-06-03T17:25:33.553Z,2025-05-10T14:46:35.461Z,INACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Andrew's   Roku,2014-05-09T22:47:26.870Z,2014-05-09T22:47:26.870Z,2014-12-21T01:57:11.923Z,INACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Moto X,2014-02-18T16:31:28.113Z,2014-02-18T16:31:28.113Z,2016-02-04T14:56:22.066Z,INACTIVE,0,XT1060,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Moto X,2014-01-29T11:22:39.239Z,2014-01-29T11:22:39.239Z,2016-02-04T14:56:22.066Z,INACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Moto X,2014-01-29T11:22:36.696Z,2014-01-29T11:22:36.696Z,2016-02-04T14:56:22.066Z,INACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Andrew's Android Device,2013-11-22T12:32:42.770Z,2013-11-22T12:32:42.770Z,2015-07-10T15:44:18.750Z,INACTIVE,0,Not Available,Not Available,Not Available,Not Available,Amazon,Not Applicable
