created_timestamp,preferred_marketplace,country,device_family,ASIN,supports_auxiliary_content,has_auxiliary_content,auxiliary_content_enabled,auxiliary_content_type
2021-07-31T03:27:13Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2022-03-22T03:11:50Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2023-10-01T00:52:53Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-03-01T02:27:05Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2025-05-31T03:47:57Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2025-04-20T04:42:52Z,www.amazon.com,US,Kindle E-reader,2QNZAYQAE5R4PFN6F24WIOEU6LELQLZZ,No,No,Yes,Xray
2023-03-14T04:01:34Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2023-12-25T04:48:06Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2021-07-24T01:22:27Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2021-07-31T03:29:16Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2025-07-06T03:29:43Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2022-07-27T03:13:18Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2025-01-23T04:59:45Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-01-19T05:06:06Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2025-04-20T04:46:35Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2024-02-23T05:29:20Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2022-09-25T03:33:04Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2023-12-31T04:49:26Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2022-04-08T03:49:06Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2022-04-28T03:49:21Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2024-07-15T22:19:34Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2024-10-31T03:00:43Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2024-03-03T18:54:00Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2024-01-05T02:03:50Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
