created_timestamp,preferred_marketplace,country,device_family,ASIN,wakeup_reason,time_in_hibernate_ms
2023-05-25T04:04:41Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,18203000
2022-12-07T08:04:28Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for Periodical download,7439000
2022-12-31T02:29:50Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,66072000
2022-12-19T08:04:27Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for Periodical download,30344000
2023-02-20T02:26:43Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,66007000
2023-02-13T04:37:52Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,73891000
2023-02-14T04:15:33Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,4830000
2023-05-31T08:23:31Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,85008000
2022-12-20T23:18:48Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,54753000
2023-04-24T08:37:12Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,12704000
2023-04-13T17:05:59Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,30044000
2023-05-21T07:24:17Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,81603000
2023-04-07T18:30:26Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,35022000
2023-05-17T03:44:00Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,14897000
2023-05-12T02:39:16Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,64496000
2023-03-07T03:33:07Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,69959000
2023-05-16T08:25:27Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,9714000
2023-03-31T20:58:10Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,44008000
2023-02-05T17:09:41Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,32596000
2023-07-15T03:35:09Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,67852000
2023-02-01T04:49:24Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,17244000
2023-02-18T04:02:52Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,71663000
2023-04-22T08:28:11Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,12429000
2023-07-19T08:14:41Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,12941000
2023-07-16T08:32:02Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,13746000
2023-05-13T01:14:46Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,8593000
2023-04-17T08:42:25Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for Periodical download,10624000
2023-04-19T07:39:50Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,8418000
2023-02-27T21:57:12Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,49837000
2023-06-03T17:18:58Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,30876000
2023-04-03T21:10:19Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,44669000
2023-06-15T08:39:03Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,16549000
2023-04-21T03:28:06Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,23734000
2023-05-09T08:15:25Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,12794000
2023-04-25T23:23:01Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,52632000
2023-05-14T04:30:57Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,23744000
2023-06-26T08:42:31Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for Periodical download,14683000
2023-05-26T19:56:29Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,40329000
2023-03-08T06:25:41Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,80358000
2023-03-01T22:27:02Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,3130000
2023-04-14T07:30:49Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,9489000
2023-04-12T03:46:16Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,4126000
2023-06-20T03:05:00Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,66046000
2023-05-14T23:54:23Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,443000
2023-01-13T04:34:49Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,73717000
2023-07-23T03:31:51Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,67663000
2023-05-30T08:42:34Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for Periodical download,51592000
2022-12-26T02:40:30Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,4975000
2022-12-13T08:04:23Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for Periodical download,7542000
2023-05-12T12:56:23Z,www.amazon.com,US,Kindle E-reader,Not Available,USB plug in,15125000
2023-03-25T21:27:03Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,6103000
2023-01-27T04:30:56Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,8462000
2023-07-11T03:27:40Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,67297000
2023-04-02T07:42:36Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,8671000
2023-06-22T02:57:33Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,65596000
2023-07-04T21:57:47Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,4166000
2023-03-12T05:29:43Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,17298000
2023-03-03T03:51:21Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,12155000
2023-02-27T03:34:43Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,69940000
2023-05-28T20:26:18Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,42129000
2023-05-25T18:04:38Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,33623000
2023-05-24T07:42:26Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,8162000
2023-06-26T03:04:22Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,66007000
2023-01-27T20:29:05Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,44493000
2023-03-09T17:47:46Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,34758000
2022-12-03T10:33:43Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,8854000
2023-04-14T21:12:39Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,44908000
2023-06-08T03:33:30Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,4704000
2023-03-27T08:13:54Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,10916000
2023-07-06T03:02:01Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,18134000
2023-06-13T07:38:40Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,15324000
2023-04-02T22:38:53Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,10083000
2023-06-28T02:34:11Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,5552000
