Creation Date,Amazon Marketplace,Display Status,Device Serial Number,Device Platform,Event Description
2025-05-27T03:25:59Z,www.amazon.com,"""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notifications tray opened"""
2025-05-27T03:25:59Z,www.amazon.com,"""Kindle App Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-05-27T03:25:59Z,www.amazon.com,"""Kindle App Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-05-27T03:25:59Z,www.amazon.com,"""Kindle App Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-05-27T03:25:59Z,www.amazon.com,"""Kindle App Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-05-27T03:25:55Z,www.amazon.com,"""Kindle App Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-05-27T03:25:55Z,www.amazon.com,"""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notifications tray opened"""
2025-05-27T03:25:55Z,www.amazon.com,"""Kindle App Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-05-27T03:25:55Z,www.amazon.com,"""Kindle App Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-05-27T03:25:55Z,www.amazon.com,"""Kindle App Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-05-26T16:52:21Z,www.amazon.com,"""Push Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-05-24T15:37:17Z,www.amazon.com,"""Push Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-05-23T00:37:19Z,www.amazon.com,"""Push Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-05-22T23:09:50Z,www.amazon.com,"""Push Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-05-21T18:48:29Z,www.amazon.com,"""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notifications tray closed"""
2025-05-21T18:48:26Z,www.amazon.com,"""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""All notifications cleared"""
2025-05-21T18:48:25Z,www.amazon.com,"""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""All notifications clear performed"""
2025-05-21T18:48:22Z,www.amazon.com,"""Kindle App Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-05-21T18:48:22Z,www.amazon.com,"""Kindle App Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-05-21T18:48:22Z,www.amazon.com,"""Kindle App Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-05-21T18:48:22Z,www.amazon.com,"""Kindle App Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-05-21T18:48:22Z,www.amazon.com,"""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notifications tray opened"""
2025-05-21T18:48:22Z,www.amazon.com,"""Kindle App Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-05-21T18:48:22Z,www.amazon.com,"""Kindle App Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-05-21T18:48:22Z,www.amazon.com,"""Kindle App Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-05-20T02:55:20Z,www.amazon.com,"""Push Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-05-18T20:21:56Z,www.amazon.com,"""Push Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-05-16T16:01:03Z,www.amazon.com,"""Push Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-05-16T16:01:03Z,www.amazon.com,"""Push Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-05-15T22:00:35Z,www.amazon.com,"""Push Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-05-15T00:16:36Z,www.amazon.com,"""Push Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-05-08T22:07:31Z,www.amazon.com,"""Push Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-05-07T16:18:13Z,www.amazon.com,"""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notifications tray closed"""
2025-05-07T16:18:12Z,www.amazon.com,"""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""All notifications cleared"""
2025-05-07T16:18:11Z,www.amazon.com,"""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""All notifications clear performed"""
2025-05-07T16:18:08Z,www.amazon.com,"""Kindle App Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-05-07T16:18:08Z,www.amazon.com,"""Kindle App Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-05-07T16:18:08Z,www.amazon.com,"""Kindle App Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-05-07T16:18:08Z,www.amazon.com,"""Kindle App Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-05-07T16:18:08Z,www.amazon.com,"""Kindle App Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-05-07T16:18:08Z,www.amazon.com,"""Kindle App Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-05-07T16:18:08Z,www.amazon.com,"""Kindle App Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-05-07T16:18:07Z,www.amazon.com,"""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notifications tray opened"""
2025-05-06T19:00:02Z,www.amazon.com,"""Push Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-05-04T19:11:39Z,www.amazon.com,"""Push Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-05-02T19:02:03Z,www.amazon.com,"""Push Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-05-01T18:46:43Z,www.amazon.com,"""Push Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-04-30T21:12:43Z,www.amazon.com,"""Push Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-04-30T20:24:08Z,www.amazon.com,"""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notifications tray closed"""
2025-04-30T20:24:04Z,www.amazon.com,"""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""All notifications cleared"""
2025-04-30T20:24:03Z,www.amazon.com,"""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""All notifications clear performed"""
2025-04-30T20:24:01Z,www.amazon.com,"""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notifications tray opened"""
2025-04-30T20:24:01Z,www.amazon.com,"""Kindle App Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-04-27T18:15:08Z,www.amazon.com,"""Push Notification Displayed""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notification received"""
2025-04-27T03:17:06Z,www.amazon.com,"""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Notifications tray closed"""
2025-04-27T03:17:04Z,www.amazon.com,"""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""All notifications cleared"""
