created_timestamp,preferred_marketplace,country,device_family,ASIN,ads_or_recommendations_type,ads_or_recommendations_asin,ad_or_recommendation_location,ad_or_recommendation_position
2023-03-14T04:24:49Z,www.amazon.com,US,Kindle E-reader,B09JBCGQB8,More by Author Recommendation,B0926S7CD4,Lockscreen,Lockscreen
2023-05-22T08:25:30Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,More by Author Recommendation,B0775B8RND,Lockscreen,Lockscreen
2023-06-15T20:46:57Z,www.amazon.com,US,Kindle E-reader,Not Available,Recommended for You Recommendation,B0B3YC57XP,Lockscreen,Lockscreen
2023-06-27T20:40:09Z,www.amazon.com,US,Kindle E-reader,B0BHTN6TL6,More by Author Recommendation,B078MDYVVT,Lockscreen,Lockscreen
2023-04-17T08:42:26Z,www.amazon.com,US,Kindle E-reader,B000U913EI,Recommended for You Recommendation,B07S1X9K9J,Lockscreen,Lockscreen
2023-07-12T03:39:31Z,www.amazon.com,US,Kindle E-reader,B09Y94K74X,Recommended for You Recommendation,B0B7R4Q5DJ,Lockscreen,Lockscreen
2023-06-28T04:10:24Z,www.amazon.com,US,Kindle E-reader,B0B7NDZNDV,Recommended for You Recommendation,B0B3YC57XP,Lockscreen,Lockscreen
2023-02-22T06:52:41Z,www.amazon.com,US,Kindle E-reader,Not Available,More by Author Recommendation,B08NT2VSWF,Lockscreen,Lockscreen
2023-02-21T05:58:44Z,www.amazon.com,US,Kindle E-reader,B08NT2VSWF,Recommended for You Recommendation,B098PW8NP8,Lockscreen,Lockscreen
2023-05-25T04:48:34Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,More by Author Recommendation,B0BBCB6PFC,Lockscreen,Lockscreen
2023-05-03T08:42:18Z,www.amazon.com,US,Kindle E-reader,B084357H23,Recommended for You Recommendation,B098PW8NP8,Lockscreen,Lockscreen
2023-04-07T08:11:35Z,www.amazon.com,US,Kindle E-reader,B07HB5DKQX,Recommended for You Recommendation,B098PW8NP8,Lockscreen,Lockscreen
2023-02-08T22:18:35Z,www.amazon.com,US,Kindle E-reader,Not Available,More by Author Recommendation,B09NTK9WDQ,Lockscreen,Lockscreen
2023-03-11T22:32:06Z,www.amazon.com,US,Kindle E-reader,B09N6VX4K7,Recommended for You Recommendation,B09SNYDGR9,Lockscreen,Lockscreen
2023-07-06T08:40:04Z,www.amazon.com,US,Kindle E-reader,B09Y94K74X,Recommended for You Recommendation,B0BJ6NF4W3,Lockscreen,Lockscreen
2023-04-19T22:04:00Z,www.amazon.com,US,Kindle E-reader,B000U913EI,Recommended for You Recommendation,B0B7R4Q5DJ,Lockscreen,Lockscreen
