created_timestamp,preferred_marketplace,country,device_family,ASIN,sync_experience,sync_action
2023-12-13T05:22:33Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2023-10-19T04:11:40Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2023-09-28T04:08:51Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-05-05T21:10:54Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2023-08-09T02:17:01Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2023-11-06T22:53:56Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2023-11-09T04:35:31Z,www.amazon.com,US,Kindle E-reader,B07CWDMQ45,Sync is Performed,reader_manual_sync_action_SmartSync_C_progressbar
2024-05-05T21:10:54Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-03-26T02:50:54Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2023-10-24T03:20:43Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-07-08T22:04:44Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-03-26T02:50:54Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-03-26T02:47:01Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-02-13T21:39:21Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-01-07T21:07:16Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2023-09-25T02:55:23Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-01-25T20:34:41Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-06-02T04:00:56Z,www.amazon.com,US,Kindle E-reader,B09X34KMRM,Sync is Performed,Manual Sync Action Clicked Inside the Book
2024-04-08T23:17:02Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-06-17T03:56:23Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,reader_manual_sync_action_SmartSync_C_progressbar
2024-07-27T03:56:33Z,www.amazon.com,US,Kindle E-reader,B0CH1NHWNW,Sync is Performed,Manual Sync Action Clicked Inside the Book
2024-04-15T20:35:05Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2023-10-12T16:51:48Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-07-27T03:56:34Z,www.amazon.com,US,Kindle E-reader,B0CH1NHWNW,Sync is Performed,reader_manual_sync_action_SmartSync_C_progressbar
2024-02-03T06:12:11Z,www.amazon.com,US,Kindle E-reader,B0C592RHNC,Sync is Performed,Manual Sync Action Clicked Inside the Book
2024-02-08T21:23:59Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2023-11-01T17:37:58Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-01-25T20:34:41Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-07-02T21:19:15Z,www.amazon.com,US,Kindle E-reader,C36A14E8EC2F4079AD3377ED35C616AE,Sync is Performed,Manual Sync Action Clicked Inside the Book
2023-11-22T03:30:28Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-01-01T04:06:26Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2023-10-24T03:20:36Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2023-08-28T17:51:14Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-06-02T04:00:56Z,www.amazon.com,US,Kindle E-reader,B09X34KMRM,Sync is Performed,reader_manual_sync_action_SmartSync_C_progressbar
2023-11-22T03:30:22Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-02-13T21:39:21Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2023-11-01T17:37:58Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-06-01T17:43:28Z,www.amazon.com,US,Kindle E-reader,B09X34KMRM,Sync is Performed,reader_manual_sync_action_SmartSync_C_progressbar
2024-01-03T21:32:02Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-04-08T23:17:02Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2023-12-13T05:22:33Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-07-08T22:04:44Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-01-26T04:45:59Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-05-08T22:43:34Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,reader_manual_sync_action_SmartSync_C_progressbar
2024-01-01T04:06:26Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-06-04T22:57:55Z,www.amazon.com,US,Kindle E-reader,B09X34KMRM,Sync is Performed,reader_manual_sync_action_SmartSync_C_progressbar
2024-01-03T21:32:02Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-02-08T21:23:58Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2023-12-23T18:11:51Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2023-10-12T16:51:49Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-03-26T02:47:01Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-01-03T21:33:05Z,www.amazon.com,US,Kindle E-reader,B0B7R4Q5DJ,Sync is Performed,Navigate to Furthest Page Read
