"Product Name","ASIN","Author Name"
"Going Zero: A Novel","006322707X","McCarten, Anthony"
"Code Name Blue Wren: The True Story of America's Most Dangerous Female Spy—and the Sister She Betrayed","B09XBGYWSR","Popkin, Jim"
"Gone to the Wolves: A Novel","0374603332","Wray, John"
"My Murder: A Novel","B0BHCXVWGT","Williams, Katie"
"How to Survive: Self-Reliance in Extreme Circumstances","B08D4QJRY2","Hudson, John"
"The Celebrants: A Read with Jenna Pick: A Novel","B0B9WRWFH6","Rowley, Steven"
"The Dirty Tricks Department: Stanley Lovell, the OSS, and the Masterminds of World War II Secret Warfare","1250280249","Lisle, John"
"The Trackers: A Search for a Fugitive in Depression-Era America","B0B6JSJQLH","Frazier, Charles"
"The It Girl","1982155264","Ware, Ruth"
"Apples Never Fall","B08PG6CKZJ","Moriarty, Liane"
"We Share the Sun: The Incredible Journey of Kenya's Legendary Running Coach Patrick Sang and the Fastest Runners on Earth","B0B3Y4RYX6","Gearhart, Sarah"
"The Appeal: A Novel","B098433CGQ","Hallett, Janice"
"A Calendar of Wisdom: Daily Thoughts to Nourish the Soul, Written and Se","B003L77UKC","Tolstoy, Leo"
"Mrs. Ted Bliss","B00AG8GXVQ","Elkin, Stanley"
"The Marriage Portrait: Reese's Book Club: A novel","B09RTYQW2S","O'Farrell, Maggie"
"Birnam Wood: A Novel","B09Y46DSD7","Catton, Eleanor"
"Lapvona: A Novel","B09GW3P1KJ","Moshfegh, Ottessa"
"Blaze Me a Sun: A Novel About a Crime (Halland Suite)","B09XL59MJX","Carlsson, Christoffer"
"The Invisible Life of Addie LaRue","B084357H23","Schwab, V. E."
"In the Woods (Dublin Murder Squad, Book 1)","B000U913EI","French, Tana"
"Saturday Night at the Lakeside Supper Club: A Novel","B0B6Z3LN2D","Stradal, J. Ryan"
"All the Living and the Dead: From Embalmers to Executioners, an Exploration of the People Who Have Made Death Their Life's Work","B09CNFH5WG","Campbell, Hayley"
"The Wager: A Tale of Shipwreck, Mutiny and Murder","0385534264","Grann, David"
"The Wager: A Tale of Shipwreck, Mutiny and Murder","B0B6Z4SVTH","Grann, David"
"Outlive: The Science and Art of Longevity","B0B1BTJLJN","Attia MD, Peter "
"Outlive: The Science and Art of Longevity","B0B1BTJLJN","Gifford, Bill"
"Pineapple Street: A GMA Book Club Pick: A Novel","B0B3HPSFJ7","Jackson, Jenny"
"Runner's World Run Less Run Faster: Become a Faster, Stronger Runner with the Revolutionary 3-Runs-a-Week Training Program","B087BQ7GK3","Pierce, Bill"
"Runner's World Run Less Run Faster: Become a Faster, Stronger Runner with the Revolutionary 3-Runs-a-Week Training Program","B087BQ7GK3","Murr, Scott"
"Stolen","B0B3Y8DJFJ","Laestadius, Ann-Helén"
"How Not to Kill Yourself: A Portrait of the Suicidal Mind","B0B1Y1ZKFX","Martin, Clancy"
"Palm Beach, Finland","B07HB5DKQX","Tuomainen, Antti"
"The Man Who Died","B075SPBQDV","Tuomainen, Antti"
"Running for My Life: One Lost Boy's Journey from the Killing Fields of Sudan to the Olympic Games","B007D1TKAU","Lomong, Lopez"
"Running for My Life: One Lost Boy's Journey from the Killing Fields of Sudan to the Olympic Games","B007D1TKAU","Tabb, Mark"
"The Kind Worth Saving: A Novel","B0B3989NDF","Swanson, Peter"
"River Woman, River Demon: A Novel","B09YNV5V75","Givhan, Jennifer"
"Tomorrow, and Tomorrow, and Tomorrow: A novel","B09JBCGQB8","Zevin, Gabrielle"
"Killers of a Certain Age","B09N6VX4K7","Raybourn, Deanna"
"You're Saying It Wrong: A Pronunciation Guide to the 150 Most Commonly Mispronounced Words--and Their Tangled Histories of Misuse","0399578080","Petras, Ross"
"You're Saying It Wrong: A Pronunciation Guide to the 150 Most Commonly Mispronounced Words--and Their Tangled Histories of Misuse","0399578080","Petras, Kathryn"
"The Last Mona Lisa: A Novel","B08QXTPXPH","Santlofer, Jonathan"
"How the Word Is Passed: A Reckoning with the History of Slavery Across America","B08KQ4W18H","Smith, Clint"
"66 Metres: A chilling thriller that will keep you on the edge of your seat! (Nadia Laksheva Spy Thriller Series, Book 1)","B01HLY0Z0W","Kirwan, J.F."
"Wrong Place Wrong Time: A Novel","B09NW4FN2R","McAllister, Gillian"
"The Boy from the Woods: Wilde, Book 1","B07ZPDRVYF","Harlan Coben"
"The Boy from the Woods","B07TYBQJBM","Coben, Harlan"
"The Master & Margarita","B08KH4LZDM","Bulgakov, Mikhail"
"Index, A History of the: A Bookish Adventure from Medieval Manuscripts to the Digital Age","B098TZ17NC","Duncan, Dennis"
"The Mosquito Bowl: A Game of Life and Death in World War II","B09FK32FY3","Bissinger, Buzz"
