created_timestamp,preferred_marketplace,country,device_family,ASIN,Start position of annotation,End position of annotation,action,previous_value,new_value
2025-06-12T22:02:21Z,www.amazon.com,US,Kindle E-reader,WE7SRD2LY7QFPPIYNFYUIFGDVUBNHMLP,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-07-28T22:34:12Z,www.amazon.com,US,Kindle E-reader,CYYIMAPVWFZQZ7XVINNTFI6QPBWGZ245,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-07-08T23:38:47Z,www.amazon.com,US,Kindle E-reader,SL7WU7EAKIJMP6UUMD2XUOQFJIPQTNPT,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-06-13T03:27:13Z,www.amazon.com,US,Kindle E-reader,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Delete Annotation,highlight,Not Available
2025-06-12T23:27:52Z,www.amazon.com,US,Kindle E-reader,WE7SRD2LY7QFPPIYNFYUIFGDVUBNHMLP,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-07-13T21:13:27Z,www.amazon.com,US,Kindle E-reader,VE4SJJEMPCNJIYM5H66WC62DAPYE4BQI,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-05-28T03:29:11Z,www.amazon.com,US,Kindle E-reader,QYRAXQVBLI3LB5QJ4JUGQRWU5LOQXERK,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-06-12T23:27:17Z,www.amazon.com,US,Kindle E-reader,WE7SRD2LY7QFPPIYNFYUIFGDVUBNHMLP,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-08-01T04:33:03Z,www.amazon.com,US,Kindle E-reader,SEZPDYLSFM2BYZQJNVIF2P5X74LX7RKR,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-07-08T01:53:39Z,www.amazon.com,US,Kindle E-reader,SL7WU7EAKIJMP6UUMD2XUOQFJIPQTNPT,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-06-12T22:02:51Z,www.amazon.com,US,Kindle E-reader,WE7SRD2LY7QFPPIYNFYUIFGDVUBNHMLP,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-06-13T03:26:50Z,www.amazon.com,US,Kindle E-reader,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-05-28T03:09:41Z,www.amazon.com,US,Kindle E-reader,QYRAXQVBLI3LB5QJ4JUGQRWU5LOQXERK,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-07-11T20:50:47Z,www.amazon.com,US,Kindle E-reader,VE4SJJEMPCNJIYM5H66WC62DAPYE4BQI,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
2025-07-18T22:25:49Z,www.amazon.com,US,Kindle E-reader,7KRWAI2AYO7QURIYLICYT2S4DTQWFXK7,Notes may be accessed by navigating to each book's Annotation Notebook,Notes may be accessed by navigating to each book's Annotation Notebook,Open CAB,Not Available,Not Available
