created_timestamp,preferred_marketplace,country,device_family,last_used_ASIN,kindle_software_version,action_performed,item_position,user_action_type,campiaign_page_position
2023-05-18T04:17:33Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3924980005,Book Selected,Action Performed in First Book of the Campaign,tap,1
2023-08-05T04:45:23Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4064600031,Book Selected,Action Performed in First Book of the Campaign,tap,1
2025-05-22T00:25:26Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4417610025,Book Selected,Action Performed in First Book of the Campaign,tap,1
2025-03-25T21:57:52Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4351860007,com.amazon.library.actions.download_book,Selected Campaign Header,book_detail_view_action,1
2025-04-03T02:28:14Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4351860007,Book Selected,Action Performed in First Book of the Campaign,tap,1
2023-07-21T23:03:01Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4064600031,asin_horizontal_scroll_3_7,Selected Campaign Header,ForwardHorizontalScroll,1
2023-07-21T23:03:14Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4064600031,Menu Option Selected,Action Performed in Fifth Book of the Campaign,tap,1
2025-03-25T21:55:18Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4351860007,Book Selected,Selected Campaign Header,tap,1
2023-11-28T04:41:16Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4131230058,asin_horizontal_scroll_1_4,Selected Campaign Header,BackwardHorizontalScroll,1
2023-02-15T21:56:57Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3889340042,com.amazon.library.actions.return_borrowed_book_action,Action Performed in Second Book of the Campaign,book_detail_view_action,1
2024-05-30T03:24:23Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4212840015,Tap on Card Title,Selected Campaign Header,tap,1
2023-03-01T23:15:34Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3889340042,Menu Option Selected,Selected Campaign Header,tap,1
2024-03-01T02:25:03Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4169610030,Menu Option Selected,Selected Campaign Header,tap,1
2025-03-25T21:55:58Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4351860007,Book Selected,Action Performed in First Book of the Campaign,tap,1
2023-06-03T17:22:00Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3924980005,Menu Option Selected,Selected Campaign Header,tap,1
2025-03-11T20:42:36Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4351860007,Book Selected,Selected Campaign Header,tap,1
2024-04-30T03:20:48Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4212840015,asin_horizontal_scroll_1_4,Selected Campaign Header,BackwardHorizontalScroll,1
2024-11-03T04:26:20Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4289730037,Book Selected,Action Performed in First Book of the Campaign,tap,1
2024-01-18T04:44:35Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4142850042,Menu Option Selected,Action Performed in Second Book of the Campaign,tap,1
2023-10-20T02:24:14Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4126890001,Book Selected,Selected Campaign Header,tap,1
2025-06-24T04:14:38Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4417610025,Menu Option Selected,Selected Campaign Header,tap,1
2024-02-27T23:40:56Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4169610030,Book Selected,Selected Campaign Header,tap,1
2024-08-09T03:15:52Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4270250001,Menu Option Selected,Action Performed in Second Book of the Campaign,tap,1
2025-01-20T05:46:03Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4351860007,Book Selected,Action Performed in Second Book of the Campaign,tap,1
2022-12-27T04:21:07Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3889340042,Book Selected,Selected Campaign Header,tap,1
2024-08-20T04:08:12Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4270250001,Book Selected,Selected Campaign Header,tap,1
2025-04-21T22:24:38Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4417610025,com.amazon.library.actions.remove_this_sample,Selected Campaign Header,book_detail_view_action,1
2024-11-02T03:35:08Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4289730037,Book Selected,Action Performed in Second Book of the Campaign,tap,8
2025-03-27T01:48:23Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4351860007,Book Selected,Action Performed in First Book of the Campaign,tap,1
2024-05-30T03:24:12Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4212840015,Menu Option Selected,Selected Campaign Header,tap,1
2025-05-30T01:29:12Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4417610025,Book Selected,Action Performed in First Book of the Campaign,tap,1
2025-05-11T03:42:13Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4417610025,com.amazon.library.actions.return_borrowed_book_action,Selected Campaign Header,book_detail_view_action,1
2023-06-14T23:02:41Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3924980005,Book Selected,Action Performed in First Book of the Campaign,tap,1
2023-01-12T05:34:51Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3889340042,Tap on Card Title,Selected Campaign Header,tap,1
2025-05-15T00:15:58Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4417610025,Book Selected,Selected Campaign Header,tap,1
2024-11-05T22:30:38Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4289730037,com.amazon.library.actions.permanently_delete_item,Selected Campaign Header,book_detail_view_action,1
2025-04-07T02:33:44Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4351860007,com.amazon.library.actions.permanently_delete_item,Selected Campaign Header,book_detail_view_action,1
2024-01-10T04:35:12Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4142850042,Book Selected,Selected Campaign Header,tap,1
2024-05-11T04:54:41Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4212840015,Book Selected,Action Performed in Fifth Book of the Campaign,tap,1
2024-05-08T23:15:17Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4212840015,Book Selected,Selected Campaign Header,tap,1
2024-01-12T05:57:01Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4142850042,Book Selected,Action Performed in First Book of the Campaign,tap,1
2023-02-20T03:13:55Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3889340042,Book Selected,Selected Campaign Header,tap,1
2024-09-13T00:32:07Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4270250001,Book Selected,Action Performed in First Book of the Campaign,tap,1
2024-01-10T04:34:41Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4142850042,Menu Option Selected,Selected Campaign Header,tap,1
2025-01-20T18:53:32Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4351860007,Tap on Card Title,Selected Campaign Header,tap,1
2024-05-05T03:52:22Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4212840015,Book Selected,Action Performed in Second Book of the Campaign,tap,1
2023-06-07T02:55:53Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3924980005,Book Selected,Selected Campaign Header,tap,1
2023-05-17T03:52:52Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3924980005,Book Selected,Action Performed in Second Book of the Campaign,tap,1
2024-03-19T03:53:21Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193180020,Book Selected,Action Performed in First Book of the Campaign,tap,1
2024-12-07T06:26:00Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4320330039,asin_horizontal_scroll_1_4,Selected Campaign Header,BackwardHorizontalScroll,1
2023-03-30T05:07:06Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3924980005,asin_horizontal_scroll_1_4,Selected Campaign Header,BackwardHorizontalScroll,1
2022-12-27T04:21:00Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3889340042,asin_horizontal_scroll_1_4,Selected Campaign Header,BackwardHorizontalScroll,1
2025-02-21T23:01:01Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4351860007,Book Selected,Action Performed in First Book of the Campaign,tap,1
2023-03-11T17:12:18Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3889340042,Book Selected,Action Performed in First Book of the Campaign,tap,1
2025-01-07T05:35:32Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4351860007,com.amazon.library.actions.permanently_delete_item,Selected Campaign Header,book_detail_view_action,1
2025-05-15T00:14:50Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4417610025,Menu Option Selected,Selected Campaign Header,tap,1
2024-08-09T03:15:08Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4270250001,Menu Option Selected,Selected Campaign Header,tap,1
2023-05-15T03:48:41Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3924980005,Book Selected,Selected Campaign Header,tap,1
2024-05-08T23:15:56Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4212840015,asin_horizontal_scroll_3_7,Selected Campaign Header,ForwardHorizontalScroll,1
2023-02-21T05:09:07Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3889340042,Book Selected,Action Performed in First Book of the Campaign,tap,1
2023-04-09T23:13:42Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3924980005,Menu Option Selected,Action Performed in First Book of the Campaign,tap,1
2023-01-28T05:27:49Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3889340042,Tap on Card Title,Selected Campaign Header,tap,1
2024-02-08T21:24:38Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4169610030,Book Selected,Action Performed in Second Book of the Campaign,tap,1
2025-03-25T21:54:49Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4351860007,Menu Option Selected,Action Performed in First Book of the Campaign,tap,1
2023-07-23T20:00:54Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4064600031,Book Selected,Action Performed in First Book of the Campaign,tap,1
2024-09-28T04:18:25Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4289730037,com.amazon.library.actions.permanently_delete_item,Selected Campaign Header,book_detail_view_action,1
2024-05-30T03:24:12Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4212840015,com.amazon.library.actions.return_borrowed_book_action,Selected Campaign Header,book_detail_view_action,1
2024-07-01T22:21:01Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4246270033,Menu Option Selected,Selected Campaign Header,tap,1
2024-11-05T22:23:08Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4289730037,Book Selected,Action Performed in Third Book of the Campaign,tap,1
2023-06-25T03:30:01Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3924980005,Book Selected,Selected Campaign Header,tap,1
2024-08-16T23:43:57Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4270250001,asin_horizontal_scroll_3_7,Selected Campaign Header,ForwardHorizontalScroll,1
2023-07-21T03:16:02Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4064600031,Book Selected,Selected Campaign Header,tap,1
