created_timestamp,preferred_marketplace,device_family,card_name,card_position
2022-12-25T19:31:23Z,www.amazon.com,Kindle for Android,More like [book title],2
2023-01-12T05:36:10Z,www.amazon.com,Kindle for Android,More like [book title],2
2022-12-20T18:59:51Z,www.amazon.com,Kindle for Android,,3
2023-03-09T03:04:57Z,www.amazon.com,Kindle for Android,,1
2023-03-30T03:48:01Z,www.amazon.com,Kindle for Android,Based on your reading,2
2023-03-07T03:51:32Z,www.amazon.com,Kindle for Android,Expand your reading horizons,2
2022-12-16T05:11:39Z,www.amazon.com,Kindle for Android,,13
2023-04-21T03:41:49Z,www.amazon.com,Kindle for Android,,1
2023-07-06T18:55:28Z,www.amazon.com,Kindle for Android,More like [book title],1
2023-03-05T04:56:00Z,www.amazon.com,Kindle for Android,Reading Insights,4
2023-04-30T21:04:06Z,www.amazon.com,Kindle for Android,Recommended for you,1
2023-02-15T06:02:11Z,www.amazon.com,Kindle for Android,Based on your reading in Kindle Unlimited,5
2023-02-05T20:51:05Z,www.amazon.com,Kindle for Android,Based on your reading in Kindle Unlimited,1
2023-01-19T05:43:03Z,www.amazon.com,Kindle for Android,More like [book title],6
2023-02-15T06:18:43Z,www.amazon.com,Kindle for Android,,3
2023-06-08T21:27:01Z,www.amazon.com,Kindle for Android,More like [book title],2
2022-12-20T19:00:29Z,www.amazon.com,Kindle for Android,More like your recent books,3
2022-12-16T04:20:44Z,www.amazon.com,Kindle for Android,,2
2023-07-04T18:29:10Z,www.amazon.com,Kindle for Android,Recommended for you,7
2023-04-28T19:53:56Z,www.amazon.com,Kindle for Android,,4
2023-04-28T19:54:12Z,www.amazon.com,Kindle for Android,,2
2023-07-04T18:29:02Z,www.amazon.com,Kindle for Android,,6
2022-12-25T19:31:14Z,www.amazon.com,Kindle for Android,More like your recent books,3
2023-03-07T03:52:23Z,www.amazon.com,Kindle for Android,,1
2023-03-31T16:15:30Z,www.amazon.com,Kindle for Android,,1
2022-12-20T19:00:35Z,www.amazon.com,Kindle for Android,Recommended for you,6
2023-04-21T03:43:45Z,www.amazon.com,Kindle for Android,Upcoming releases for you,2
2023-06-28T03:54:33Z,www.amazon.com,Kindle for Android,More like [book title],1
2023-04-30T21:03:32Z,www.amazon.com,Kindle for Android,,4
2023-02-20T03:01:19Z,www.amazon.com,Kindle for Android,Upcoming releases for you,1
2023-02-15T06:18:43Z,www.amazon.com,Kindle for Android,Reading Insights,6
2023-03-30T03:48:01Z,www.amazon.com,Kindle for Android,,1
2023-03-31T16:15:30Z,www.amazon.com,Kindle for Android,Based on your reading,2
2023-06-19T21:29:05Z,www.amazon.com,Kindle for Android,More like [book title],2
2022-12-13T03:49:17Z,www.amazon.com,Kindle for Android,,1
2023-03-09T03:04:57Z,www.amazon.com,Kindle for Android,,2
2023-04-21T03:43:14Z,www.amazon.com,Kindle for Android,Upcoming releases for you,2
2023-06-19T21:29:16Z,www.amazon.com,Kindle for Android,,1
