created_timestamp,preferred_marketplace,country,device_family,content_id,connection _type,connection_state,connection_setting_changed
2023-03-11T08:06:39Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-01-11T04:14:18Z,www.amazon.com,US,Kindle E-reader,B09QMHZ53K,wireless,wifi,by user
2023-02-21T22:39:18Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-03-20T08:45:46Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-05-02T03:28:29Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-07-27T20:05:06Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-03-17T03:52:40Z,www.amazon.com,US,Kindle E-reader,Not Available,bluetooth,off,automatically after an update
2023-01-06T08:07:40Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-03-13T21:45:02Z,www.amazon.com,US,Kindle E-reader,B09N6VX4K7,wireless,wifi,by user
2023-05-13T01:38:40Z,www.amazon.com,US,Kindle E-reader,B09XL59MJX,wireless,wifi,by user
2023-05-11T08:43:32Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-01-27T00:13:27Z,www.amazon.com,US,Kindle E-reader,B09R21YVLM,wireless,wifi,by user
2023-01-30T21:33:43Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-04-26T00:21:57Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2022-12-29T05:26:32Z,www.amazon.com,US,Kindle E-reader,B09T9D8QY7,wireless,wifi,by user
2023-04-26T22:08:02Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-05-23T22:01:57Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-03-02T04:42:22Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,wifi,by user
2023-04-13T23:30:21Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-04-12T05:50:21Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-03-17T20:35:17Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-04-12T04:15:38Z,www.amazon.com,US,Kindle E-reader,B000U913EI,bluetooth,idle,by user
2023-04-10T08:42:31Z,www.amazon.com,US,Kindle E-reader,B0B3HPSFJ7,wireless,wifi,by user
2023-05-20T03:48:11Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-02-16T08:05:25Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-05-25T18:04:48Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,wireless,wifi,by user
2023-04-19T22:05:10Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-07-18T04:18:06Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-06-29T21:27:37Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-06-15T00:19:57Z,www.amazon.com,US,Kindle E-reader,B0BHCXVWGT,wireless,wifi,by user
2023-02-01T05:36:51Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-03-11T23:12:52Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-03-23T21:16:36Z,www.amazon.com,US,Kindle E-reader,B09RTYQW2S,wireless,wifi,by user
2023-07-23T03:32:00Z,www.amazon.com,US,Kindle E-reader,B0BH4QWM85,wireless,wifi,by user
2023-07-21T08:42:35Z,www.amazon.com,US,Kindle E-reader,B07GD51NCJ,wireless,wifi,by user
2023-07-03T20:18:42Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-04-11T01:59:27Z,www.amazon.com,US,Kindle E-reader,B0B3HPSFJ7,wireless,wifi,by user
2023-05-03T00:54:19Z,www.amazon.com,US,Kindle E-reader,B084357H23,wireless,wifi,by user
2023-07-16T08:45:58Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-04-07T03:54:45Z,www.amazon.com,US,Kindle E-reader,B07HB5DKQX,wireless,wifi,by user
2023-01-08T08:05:33Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-06-12T04:18:53Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-04-01T20:10:20Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-05-10T08:45:16Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-03-07T08:04:32Z,www.amazon.com,US,Kindle E-reader,B09RTYQW2S,wireless,wifi,by user
2023-07-17T03:40:50Z,www.amazon.com,US,Kindle E-reader,B07GD51NCJ,wireless,wifi,by user
2023-03-11T06:25:26Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-02-13T21:21:54Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,wifi,by user
2023-04-09T08:42:30Z,www.amazon.com,US,Kindle E-reader,B004HW7DZ2,wireless,wifi,by user
2023-02-05T04:38:08Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-03-19T08:42:40Z,www.amazon.com,US,Kindle E-reader,B0B3Y8DJFJ,wireless,wifi,by user
2023-04-20T04:36:21Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-01-19T08:04:27Z,www.amazon.com,US,Kindle E-reader,B09QMHZ53K,wireless,wifi,by user
2023-02-20T04:18:27Z,www.amazon.com,US,Kindle E-reader,B07VDJBKNJ,wireless,wifi,by user
2023-04-10T04:33:27Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-06-20T08:43:33Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-01-27T21:05:07Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-01-07T08:05:47Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-03-30T01:08:49Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,wifi,by user
2023-04-28T22:58:14Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-02-13T08:07:22Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-05-11T02:50:36Z,www.amazon.com,US,Kindle E-reader,B0BBCB6PFC,wireless,wifi,by user
2023-03-14T23:42:28Z,www.amazon.com,US,Kindle E-reader,B09JBCGQB8,wireless,wifi,by user
2023-01-26T04:43:01Z,www.amazon.com,US,Kindle E-reader,B09R21YVLM,wireless,wifi,by user
2023-03-13T03:51:02Z,www.amazon.com,US,Kindle E-reader,B09N6VX4K7,wireless,wifi,by user
2023-05-24T08:42:26Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,wireless,wifi,by user
2023-04-08T08:42:34Z,www.amazon.com,US,Kindle E-reader,B07HB5DKQX,wireless,wifi,by user
2023-02-27T23:22:05Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-07-21T22:18:22Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-06-10T08:42:47Z,www.amazon.com,US,Kindle E-reader,B09XBGYWSR,wireless,wifi,by user
2023-02-28T05:29:18Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-07-22T03:18:55Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,wifi,by user
2023-05-27T04:55:38Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-07-28T18:52:47Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-02-22T08:04:20Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,wifi,by user
2023-03-10T05:03:10Z,www.amazon.com,US,Kindle E-reader,B09JBCGQB8,wireless,wifi,by user
2022-12-27T19:12:28Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-06-28T08:43:25Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-05-26T19:56:38Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,wireless,wifi,by user
2023-04-30T00:48:35Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-06-14T08:43:35Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-07-13T02:30:10Z,www.amazon.com,US,Kindle E-reader,B09Y94K74X,wireless,wifi,by user
2023-03-09T19:22:38Z,www.amazon.com,US,Kindle E-reader,B09JBCGQB8,wireless,wifi,by user
2023-05-12T21:05:26Z,www.amazon.com,US,Kindle E-reader,B09XL59MJX,wireless,wifi,by user
2023-05-05T08:46:07Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-01-01T04:56:13Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-04-09T08:43:31Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-01-03T08:04:29Z,www.amazon.com,US,Kindle E-reader,B09QMHZ53K,wireless,wifi,by user
2023-07-21T20:53:05Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-03-20T02:25:02Z,www.amazon.com,US,Kindle E-reader,B09RTYQW2S,wireless,wifi,by user
2023-05-02T22:53:18Z,www.amazon.com,US,Kindle E-reader,B084357H23,wireless,wifi,by user
2023-03-03T08:05:31Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-05-06T08:45:25Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-06-21T07:56:53Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,wireless,wifi,by user
2023-01-15T08:04:39Z,www.amazon.com,US,Kindle E-reader,B09QMHZ53K,wireless,wifi,by user
2023-02-17T04:03:43Z,www.amazon.com,US,Kindle E-reader,B01COJUEZ0,wireless,wifi,by user
2023-01-02T05:25:59Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-02-02T04:20:54Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-04-01T08:42:32Z,www.amazon.com,US,Kindle E-reader,B075SPBQDV,wireless,wifi,by user
2023-06-30T04:03:22Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-05-23T21:30:16Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,wireless,wifi,by user
2023-04-14T00:38:58Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-02-24T03:57:08Z,www.amazon.com,US,Kindle E-reader,B08KQ4W18H,wireless,wifi,by user
2023-03-20T03:22:22Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,wifi,by user
2023-03-29T04:39:10Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-03-17T08:42:49Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,wifi,by user
2023-04-14T00:27:51Z,www.amazon.com,US,Kindle E-reader,B0B1BTJLJN,wireless,wifi,by user
2023-05-22T08:42:20Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,wireless,wifi,by user
2023-05-12T22:49:41Z,www.amazon.com,US,Kindle E-reader,B09XL59MJX,wireless,wifi,by user
2023-05-06T08:42:43Z,www.amazon.com,US,Kindle E-reader,B084357H23,wireless,wifi,by user
2023-06-08T03:33:39Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,wifi,by user
2023-05-12T12:56:40Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,wifi,by user
2023-05-08T03:55:45Z,www.amazon.com,US,Kindle E-reader,B084357H23,wireless,wifi,by user
2023-01-28T05:18:08Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-01-06T08:04:42Z,www.amazon.com,US,Kindle E-reader,B09QMHZ53K,wireless,wifi,by user
2023-03-17T08:43:44Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-06-10T08:43:41Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-02-01T20:12:57Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-07-04T08:42:30Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,wifi,by user
2023-02-15T22:30:29Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
