Timestamp,Activity,CampaignName,DisplayStatus
2025-04-09T01:23:00Z,ACTION_TRAY_CLOSE,,
2023-10-11T00:20:25Z,RECEIVED,kindle_recommends#DEFAULT,displayed_InAppNotification
2025-06-12T23:38:20Z,RECEIVED,tips#DEFAULT,displayed_InAppNotification
2024-07-13T23:59:56Z,RECEIVED,special_deals#DEFAULT,displayed_InAppNotification
2023-03-31T16:15:48Z,RECEIVED,special_deals#DEFAULT,displayed_InAppNotification
2024-04-27T03:27:43Z,ACTION_TRAY_OPEN,,
2023-06-08T21:28:32Z,ACTION_TRAY_CLOSE,,
2025-01-24T16:53:54Z,ACTION_TRAY_CLEARED,,
2023-12-18T01:45:28Z,ACTION_TAP_InAppNotification,kindle_recommends#DEFAULT,
2023-06-13T15:47:37Z,RECEIVED,tips,displayed
2025-06-12T23:38:20Z,ACTION_TRAY_CLEARED,,
2024-05-05T19:12:23Z,RECEIVED,kindle_recommends,displayed
2024-09-22T21:59:14Z,ACTION_TRAY_CLEAR_PERFORMED,,
2023-05-14T19:18:28Z,RECEIVED,kindle_recommends,displayed
2023-04-30T21:04:31Z,ACTION_TRAY_CLEARED,,
2024-07-13T23:59:56Z,RECEIVED,kindle_recommends#DEFAULT,displayed_InAppNotification
2024-11-06T17:15:43Z,ACTION_TRAY_CLOSE,,
2023-06-01T01:48:28Z,RECEIVED,kindle_recommends,displayed
2023-08-28T17:49:44Z,ACTION_TRAY_CLOSE,,
2023-05-22T18:41:56Z,RECEIVED,kindle_recommends,displayed
2024-01-14T19:44:32Z,RECEIVED,tips,displayed
2025-05-21T18:48:49Z,ACTION_TRAY_CLEAR_PERFORMED,,
2024-08-17T18:25:14Z,ACTION_TRAY_CLEAR_PERFORMED,,
2023-06-28T03:55:13Z,ACTION_TRAY_CLEAR_PERFORMED,,
2023-03-09T03:07:27Z,ACTION_TRAY_CLOSE,,
2024-07-23T01:13:59Z,RECEIVED,special_deals#DEFAULT,displayed_InAppNotification
2025-01-24T17:51:01Z,RECEIVED,tips,displayed
2023-07-28T18:11:47Z,RECEIVED,tips,displayed
2023-05-15T03:09:36Z,ACTION_TRAY_OPEN,,
2025-01-14T20:04:00Z,ACTION_TRAY_CLOSE,,
2023-12-12T19:40:03Z,ACTION_TRAY_OPEN,,
2023-08-09T02:23:21Z,RECEIVED,tips#DEFAULT,displayed_InAppNotification
2023-11-23T02:13:44Z,ACTION_TAP,tips,
2024-09-30T20:48:21Z,ACTION_TRAY_CLOSE,,
2024-04-10T02:44:07Z,RECEIVED,tips,displayed
2024-09-21T20:59:27Z,ACTION_TRAY_OPEN,,
2025-03-16T17:01:19Z,ACTION_TRAY_CLOSE,,
2025-04-17T19:32:13Z,RECEIVED,daily_deals#DEFAULT,displayed_InAppNotification
2023-10-02T15:26:38Z,RECEIVED,kindle_recommends,displayed
2024-04-27T03:27:43Z,RECEIVED,tips#DEFAULT,displayed_InAppNotification
2025-05-27T03:26:11Z,RECEIVED,tips#DEFAULT,displayed_InAppNotification
2025-01-31T21:05:42Z,ACTION_TRAY_CLEAR_PERFORMED,,
2023-11-30T16:31:33Z,RECEIVED,tips,displayed
2024-01-08T03:23:35Z,ACTION_TRAY_OPEN,,
2025-02-10T21:17:33Z,ACTION_TRAY_OPEN,,
2025-07-25T00:20:24Z,RECEIVED,kindle_recommends,displayed
2023-11-12T23:35:55Z,ACTION_TRAY_OPEN,,
2024-07-23T01:13:59Z,ACTION_TRAY_CLEARED,,
2024-06-13T02:01:59Z,ACTION_TRAY_CLEARED,,
2023-11-08T19:55:25Z,RECEIVED,tips,displayed
2024-09-30T20:47:51Z,RECEIVED,kindle_recommends#DEFAULT,displayed_InAppNotification
2024-07-13T23:59:56Z,ACTION_TRAY_CLOSE,,
2025-01-13T03:45:01Z,RECEIVED,tips#DEFAULT,displayed_InAppNotification
2025-03-09T17:51:41Z,ACTION_TRAY_CLOSE,,
2025-02-19T21:31:51Z,RECEIVED,kindle_recommends#DEFAULT,displayed_InAppNotification
2024-07-13T20:41:09Z,RECEIVED,tips,displayed
2023-02-27T23:51:25Z,ACTION_TRAY_CLEARED,,
2023-04-28T19:54:43Z,ACTION_TRAY_CLEAR_PERFORMED,,
