created_timestamp,preferred_marketplace,country,device_family,ASIN,metric_name,SelectedValue,activePageName,VoiceViewStatus,ToPageName
2025-04-18T03:26:27Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Library,VoiceView turned off,
2025-01-24T21:20:46Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Library,VoiceView turned off,
2025-02-18T22:02:40Z,www.amazon.com,US,Kindle E-reader,B003K15IF8,Opened Quick Actions,Tapped Quick Actions drop-down button,In-book,VoiceView turned off,
2025-01-20T18:49:15Z,www.amazon.com,US,Kindle E-reader,Not Available,Data sync,Clicked,Library,VoiceView turned off,
2025-07-27T18:30:49Z,www.amazon.com,US,Kindle E-reader,Not Available,All Settings,Clicked,Library,VoiceView turned off,Settings
2024-08-27T05:08:42Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Home,VoiceView turned off,
2025-05-06T03:35:17Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Home,VoiceView turned off,
2024-11-17T04:28:08Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Library,VoiceView turned off,
2025-05-06T03:34:06Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Library,VoiceView turned off,
2025-04-30T22:12:28Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,In-book,VoiceView turned off,
2024-09-24T22:21:42Z,www.amazon.com,US,Kindle E-reader,B0CQJHF3HQ,Opened Quick Actions,Tapped Quick Actions drop-down button,In-book,VoiceView turned off,
2025-07-26T04:32:40Z,www.amazon.com,US,Kindle E-reader,Not Available,Data sync,Clicked,Library,VoiceView turned off,
2024-12-28T05:50:39Z,www.amazon.com,US,Kindle E-reader,AHLCEKLOMNBI3WZAR2LXCRUBJ2OBWCFN,Data sync,Clicked,In-book,VoiceView turned off,
2024-08-27T22:06:00Z,www.amazon.com,US,Kindle E-reader,Not Available,All Settings,Clicked,Home,VoiceView turned off,Settings
2025-01-20T18:49:12Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Library,VoiceView turned off,
2024-08-18T15:03:22Z,www.amazon.com,US,Kindle E-reader,6C1EF968A24F49B0BF68A0FC5BA314DC,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-11-17T04:28:46Z,www.amazon.com,US,Kindle E-reader,Not Available,All Settings,Clicked,Home,VoiceView turned off,Settings
2025-04-21T22:22:00Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Home,VoiceView turned off,
2024-12-28T05:50:58Z,www.amazon.com,US,Kindle E-reader,AHLCEKLOMNBI3WZAR2LXCRUBJ2OBWCFN,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-08-09T03:29:24Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Library,VoiceView turned off,
2024-10-31T03:00:27Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Library,VoiceView turned off,
2025-03-26T03:31:47Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Home,VoiceView turned off,
