device_record_time,Device Serial Number,country_of_residence,app_package_name,app_version_name,app_version_code,device_type,device_profile_type,app_profile_type,launch_count,duration_milliseconds,software_version,metric_level,product_mode,reason_code,metric_source,start_time,Amazon Marketplace
2025-07-08T23:36:24Z,G0016T03101203AQ,United States,com.lab126.blanket.ad_screensaver,Not Available,Not Available,Ereader,Not Available,Not Available,1,15000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-08T23:36:09Z,Amazon.com
2025-07-08T23:03:17Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,3418000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-08T22:06:19Z,Amazon.com
2025-07-08T22:06:22Z,G0016T03101203AQ,United States,com.lab126.blanket.ad_screensaver,Not Available,Not Available,Ereader,Not Available,Not Available,1,1000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-08T22:06:21Z,Amazon.com
2025-07-08T03:19:25Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,2431000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-08T02:38:54Z,Amazon.com
2025-07-08T02:39:05Z,G0016T03101203AQ,United States,com.lab126.blanket.ad_screensaver,Not Available,Not Available,Ereader,Not Available,Not Available,1,9000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-08T02:38:56Z,Amazon.com
2025-07-08T02:10:46Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,3109000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-08T01:18:57Z,Amazon.com
2025-07-08T01:19:02Z,G0016T03101203AQ,United States,com.lab126.blanket.ad_screensaver,Not Available,Not Available,Ereader,Not Available,Not Available,1,3000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-08T01:18:59Z,Amazon.com
2025-07-07T05:02:07Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,2950000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-07T04:12:57Z,Amazon.com
2025-07-07T04:13:01Z,G0016T03101203AQ,United States,com.lab126.blanket.ad_screensaver,Not Available,Not Available,Ereader,Not Available,Not Available,1,2000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-07T04:12:59Z,Amazon.com
2025-07-06T22:11:18Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,3941000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-06T21:05:37Z,Amazon.com
2025-07-06T21:05:42Z,G0016T03101203AQ,United States,com.lab126.blanket.ad_screensaver,Not Available,Not Available,Ereader,Not Available,Not Available,1,3000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-06T21:05:39Z,Amazon.com
2025-07-06T21:02:58Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,3115000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-06T20:11:03Z,Amazon.com
2025-07-06T20:11:03Z,G0016T03101203AQ,United States,com.lab126.KPPMainApp,Not Available,Not Available,Ereader,Not Available,Not Available,1,100000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-06T20:09:23Z,Amazon.com
2025-07-06T20:11:01Z,G0016T03101203AQ,United States,com.lab126.KPP_HOME,Not Available,Not Available,Ereader,Not Available,Not Available,1,98000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-06T20:09:23Z,Amazon.com
2025-07-06T20:09:27Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,626000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-06T19:59:01Z,Amazon.com
2025-07-06T19:59:02Z,G0016T03101203AQ,United States,com.lab126.KPPMainApp,Not Available,Not Available,Ereader,Not Available,Not Available,1,21000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-06T19:58:41Z,Amazon.com
2025-07-06T19:59:00Z,G0016T03101203AQ,United States,com.lab126.KPP_HOME,Not Available,Not Available,Ereader,Not Available,Not Available,1,20000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-06T19:58:40Z,Amazon.com
2025-07-06T19:58:44Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,94000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-06T19:57:10Z,Amazon.com
2025-07-06T19:57:15Z,G0016T03101203AQ,United States,com.lab126.blanket.ad_screensaver,Not Available,Not Available,Ereader,Not Available,Not Available,1,3000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-06T19:57:12Z,Amazon.com
2025-07-06T17:56:51Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,9000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-06T17:56:42Z,Amazon.com
2025-07-06T17:56:46Z,G0016T03101203AQ,United States,com.lab126.blanket.ad_screensaver,Not Available,Not Available,Ereader,Not Available,Not Available,1,2000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-06T17:56:44Z,Amazon.com
2025-07-06T03:34:26Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,285000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-06T03:29:41Z,Amazon.com
2025-07-06T03:29:41Z,G0016T03101203AQ,United States,com.lab126.KPPMainApp,Not Available,Not Available,Ereader,Not Available,Not Available,1,21000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-06T03:29:20Z,Amazon.com
2025-07-06T03:29:38Z,G0016T03101203AQ,United States,com.lab126.KPP_HOME,Not Available,Not Available,Ereader,Not Available,Not Available,1,19000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-06T03:29:19Z,Amazon.com
2025-07-06T03:29:30Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,502000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-06T03:21:08Z,Amazon.com
2025-07-06T03:21:12Z,G0016T03101203AQ,United States,com.lab126.blanket.ad_screensaver,Not Available,Not Available,Ereader,Not Available,Not Available,1,3000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-06T03:21:09Z,Amazon.com
2025-07-05T17:56:16Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,1629000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-05T17:29:07Z,Amazon.com
2025-07-05T17:29:14Z,G0016T03101203AQ,United States,com.lab126.blanket.ad_screensaver,Not Available,Not Available,Ereader,Not Available,Not Available,1,6000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-05T17:29:08Z,Amazon.com
2025-07-04T21:15:12Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,1468000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-04T20:50:44Z,Amazon.com
2025-07-04T20:50:55Z,G0016T03101203AQ,United States,com.lab126.blanket.ad_screensaver,Not Available,Not Available,Ereader,Not Available,Not Available,1,10000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-04T20:50:45Z,Amazon.com
2025-07-04T17:00:14Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,1486000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-04T16:35:28Z,Amazon.com
2025-07-04T16:35:32Z,G0016T03101203AQ,United States,com.lab126.blanket.ad_screensaver,Not Available,Not Available,Ereader,Not Available,Not Available,1,2000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-04T16:35:30Z,Amazon.com
2025-07-04T02:57:36Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,1308000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-04T02:35:48Z,Amazon.com
2025-07-04T02:35:52Z,G0016T03101203AQ,United States,com.lab126.blanket.ad_screensaver,Not Available,Not Available,Ereader,Not Available,Not Available,1,2000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-04T02:35:50Z,Amazon.com
2025-07-01T03:06:16Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,1120000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-01T02:47:36Z,Amazon.com
2025-07-01T02:47:36Z,G0016T03101203AQ,United States,com.lab126.KPPMainApp,Not Available,Not Available,Ereader,Not Available,Not Available,1,619000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-01T02:37:17Z,Amazon.com
2025-07-01T02:47:34Z,G0016T03101203AQ,United States,com.lab126.KPP_HOME,Not Available,Not Available,Ereader,Not Available,Not Available,1,618000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-01T02:37:16Z,Amazon.com
2025-07-01T02:37:22Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,37000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-01T02:36:45Z,Amazon.com
2025-07-01T02:36:50Z,G0016T03101203AQ,United States,com.lab126.blanket.ad_screensaver,Not Available,Not Available,Ereader,Not Available,Not Available,1,4000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-07-01T02:36:46Z,Amazon.com
2025-06-30T20:58:48Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,1079000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-06-30T20:40:49Z,Amazon.com
2025-06-30T20:40:50Z,G0016T03101203AQ,United States,com.lab126.KPPMainApp,Not Available,Not Available,Ereader,Not Available,Not Available,1,12000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-06-30T20:40:38Z,Amazon.com
2025-06-30T20:40:47Z,G0016T03101203AQ,United States,com.lab126.KPP_HOME,Not Available,Not Available,Ereader,Not Available,Not Available,1,10000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-06-30T20:40:37Z,Amazon.com
2025-06-30T20:40:41Z,G0016T03101203AQ,United States,com.lab126.booklet.reader,Not Available,Not Available,Ereader,Not Available,Not Available,1,12000,4417610025_release_5.18.1,appAction,DEFAULT,APP,APP,2025-06-30T20:40:29Z,Amazon.com
