ASIN,country,created_timestamp,preferred_marketplace,device_family,card_position,kindle_app_version
Not Available,US,2023-02-20T03:01:19Z,www.amazon.com,Kindle for Android,2,1285428200
Not Available,US,2023-07-06T18:55:56Z,www.amazon.com,Kindle for Android,1,1285544000
Not Available,US,2023-05-15T03:12:50Z,www.amazon.com,Kindle for Android,2,1285505000
Not Available,US,2023-01-19T05:31:50Z,www.amazon.com,Kindle for Android,2,1285403200
B07MXCRB2F,US,2023-03-30T03:46:57Z,www.amazon.com,Kindle for Android,2,1285466600
Not Available,US,2023-05-02T01:04:30Z,www.amazon.com,Kindle for Android,5,1285492200
Not Available,US,2023-04-21T03:42:08Z,www.amazon.com,Kindle for Android,2,1285479400
Not Available,US,2023-03-31T16:15:19Z,www.amazon.com,Kindle for Android,1,1285466600
Not Available,US,2023-03-05T04:56:40Z,www.amazon.com,Kindle for Android,13,1285441000
Not Available,US,2023-02-20T03:02:00Z,www.amazon.com,Kindle for Android,9,1285428200
Not Available,US,2023-04-04T23:12:06Z,www.amazon.com,Kindle for Android,2,1285466600
B000GCFX6S,US,2023-06-09T03:44:10Z,www.amazon.com,Kindle for Android,1,1285530600
Not Available,US,2023-06-19T21:29:16Z,www.amazon.com,Kindle for Android,1,1285543400
Not Available,US,2023-03-25T18:13:36Z,www.amazon.com,Kindle for Android,1,1285466600
Not Available,US,2023-02-05T20:51:05Z,www.amazon.com,Kindle for Android,2,1285415400
Not Available,US,2023-04-21T03:42:07Z,www.amazon.com,Kindle for Android,1,1285479400
Not Available,US,2023-02-20T12:46:38Z,www.amazon.com,Kindle for Android,2,1285428200
B09QMHZ53K,US,2023-01-19T05:42:39Z,www.amazon.com,Kindle for Android,1,1285403200
B09QMHZ53K,US,2023-01-12T05:35:48Z,www.amazon.com,Kindle for Android,1,1285403200
Not Available,US,2023-05-02T01:03:56Z,www.amazon.com,Kindle for Android,1,1285492200
Not Available,US,2023-07-04T18:35:08Z,www.amazon.com,Kindle for Android,5,1285544000
Not Available,US,2023-02-15T06:18:42Z,www.amazon.com,Kindle for Android,8,1285428200
Not Available,US,2023-02-20T03:00:36Z,www.amazon.com,Kindle for Android,1,1285428200
B07VDJBKNJ,US,2023-02-20T19:32:34Z,www.amazon.com,Kindle for Android,1,1285428200
Not Available,US,2023-07-23T16:50:02Z,www.amazon.com,Kindle for Android,1,1285544000
Not Available,US,2022-12-25T19:31:17Z,www.amazon.com,Kindle for Android,1,1285389800
Not Available,US,2023-01-12T05:36:24Z,www.amazon.com,Kindle for Android,2,1285403200
B09XL59MJX,US,2023-05-15T03:08:10Z,www.amazon.com,Kindle for Android,2,1285505000
Not Available,US,2023-02-15T06:18:29Z,www.amazon.com,Kindle for Android,13,1285428200
Not Available,US,2023-02-28T19:20:16Z,www.amazon.com,Kindle for Android,4,1285441000
Not Available,US,2023-02-15T06:18:43Z,www.amazon.com,Kindle for Android,7,1285428200
Not Available,US,2023-07-04T18:22:43Z,www.amazon.com,Kindle for Android,6,1285544000
Not Available,US,2023-05-02T01:24:40Z,www.amazon.com,Kindle for Android,5,1285492200
Not Available,US,2023-02-15T06:18:42Z,www.amazon.com,Kindle for Android,9,1285428200
Not Available,US,2023-01-19T05:31:55Z,www.amazon.com,Kindle for Android,1,1285403200
Not Available,US,2023-01-07T06:14:27Z,www.amazon.com,Kindle for Android,1,1285403200
Not Available,US,2023-02-28T19:20:58Z,www.amazon.com,Kindle for Android,11,1285441000
Not Available,US,2023-02-28T19:20:18Z,www.amazon.com,Kindle for Android,5,1285441000
Not Available,US,2023-07-04T18:29:10Z,www.amazon.com,Kindle for Android,5,1285544000
Not Available,US,2023-07-04T18:22:20Z,www.amazon.com,Kindle for Android,1,1285544000
B09XL59MJX,US,2023-05-15T03:08:10Z,www.amazon.com,Kindle for Android,3,1285505000
Not Available,US,2022-12-25T19:31:03Z,www.amazon.com,Kindle for Android,1,1285389800
Not Available,US,2023-05-02T01:24:40Z,www.amazon.com,Kindle for Android,6,1285492200
Not Available,US,2023-03-07T03:52:31Z,www.amazon.com,Kindle for Android,9,1285441000
Not Available,US,2023-07-04T18:29:10Z,www.amazon.com,Kindle for Android,7,1285544000
Not Available,US,2023-01-25T00:55:14Z,www.amazon.com,Kindle for Android,1,1285403200
Not Available,US,2023-04-21T03:43:49Z,www.amazon.com,Kindle for Android,2,1285479400
B09QMHZ53K,US,2023-01-12T05:35:57Z,www.amazon.com,Kindle for Android,2,1285403200
Not Available,US,2023-03-30T03:47:05Z,www.amazon.com,Kindle for Android,1,1285466600
Not Available,US,2023-04-21T03:43:14Z,www.amazon.com,Kindle for Android,1,1285479400
Not Available,US,2023-03-07T03:52:22Z,www.amazon.com,Kindle for Android,6,1285441000
Not Available,US,2023-02-28T19:19:55Z,www.amazon.com,Kindle for Android,1,1285441000
Not Available,US,2023-01-19T05:31:56Z,www.amazon.com,Kindle for Android,1,1285403200
Not Available,US,2023-05-14T17:40:42Z,www.amazon.com,Kindle for Android,2,1285505000
Not Available,US,2023-07-06T18:55:28Z,www.amazon.com,Kindle for Android,2,1285544000
Not Available,US,2023-03-09T03:04:57Z,www.amazon.com,Kindle for Android,2,1285441000
Not Available,US,2023-02-05T20:50:53Z,www.amazon.com,Kindle for Android,1,1285415400
Not Available,US,2023-05-20T03:52:18Z,www.amazon.com,Kindle for Android,2,1285517800
Not Available,US,2023-01-12T05:36:15Z,www.amazon.com,Kindle for Android,1,1285403200
Not Available,US,2023-07-06T19:04:29Z,www.amazon.com,Kindle for Android,1,1285544000
Not Available,US,2023-02-15T06:02:19Z,www.amazon.com,Kindle for Android,8,1285428200
Not Available,US,2023-02-15T06:02:27Z,www.amazon.com,Kindle for Android,11,1285428200
B0B6Z4SVTH,US,2023-04-28T19:53:56Z,www.amazon.com,Kindle for Android,1,1285492200
Not Available,US,2022-12-25T19:30:54Z,www.amazon.com,Kindle for Android,3,1285389800
Not Available,US,2023-01-19T05:31:30Z,www.amazon.com,Kindle for Android,7,1285403200
Not Available,US,2023-01-19T05:31:56Z,www.amazon.com,Kindle for Android,2,1285403200
Not Available,US,2023-03-07T03:52:29Z,www.amazon.com,Kindle for Android,6,1285441000
Not Available,US,2023-06-30T22:46:51Z,www.amazon.com,Kindle for Android,1,1285544000
Not Available,US,2023-03-09T03:07:42Z,www.amazon.com,Kindle for Android,3,1285441000
Not Available,US,2023-02-15T06:18:43Z,www.amazon.com,Kindle for Android,4,1285428200
Not Available,US,2023-02-28T00:03:10Z,www.amazon.com,Kindle for Android,4,1285441000
Not Available,US,2023-04-30T21:03:32Z,www.amazon.com,Kindle for Android,2,1285492200
Not Available,US,2023-02-28T19:20:16Z,www.amazon.com,Kindle for Android,3,1285441000
Not Available,US,2023-04-13T03:00:42Z,www.amazon.com,Kindle for Android,1,1285479400
Not Available,US,2023-07-04T18:22:40Z,www.amazon.com,Kindle for Android,4,1285544000
Not Available,US,2023-07-03T15:17:31Z,www.amazon.com,Kindle for Android,1,1285544000
Not Available,US,2023-03-05T04:56:06Z,www.amazon.com,Kindle for Android,6,1285441000
B0BWMMN631,US,2023-02-28T00:02:49Z,www.amazon.com,Kindle for Android,1,1285441000
B0B6Z4SVTH,US,2023-04-28T19:53:56Z,www.amazon.com,Kindle for Android,4,1285492200
Not Available,US,2023-03-07T03:51:32Z,www.amazon.com,Kindle for Android,1,1285441000
Not Available,US,2023-02-28T19:20:50Z,www.amazon.com,Kindle for Android,9,1285441000
Not Available,US,2023-06-28T23:55:35Z,www.amazon.com,Kindle for Android,1,1285544000
B075SPBQDV,US,2023-04-04T23:11:53Z,www.amazon.com,Kindle for Android,1,1285466600
Not Available,US,2023-03-07T03:52:23Z,www.amazon.com,Kindle for Android,2,1285441000
Not Available,US,2023-04-05T17:02:52Z,www.amazon.com,Kindle for Android,1,1285466600
Not Available,US,2023-03-05T04:56:05Z,www.amazon.com,Kindle for Android,5,1285441000
Not Available,US,2023-07-21T15:52:15Z,www.amazon.com,Kindle for Android,1,1285544000
Not Available,US,2023-01-19T05:43:09Z,www.amazon.com,Kindle for Android,10,1285403200
Not Available,US,2023-04-21T03:43:45Z,www.amazon.com,Kindle for Android,1,1285479400
Not Available,US,2023-05-15T03:08:28Z,www.amazon.com,Kindle for Android,2,1285505000
Not Available,US,2023-02-20T12:46:38Z,www.amazon.com,Kindle for Android,1,1285428200
Not Available,US,2023-04-21T03:41:49Z,www.amazon.com,Kindle for Android,2,1285479400
Not Available,US,2023-07-04T18:29:02Z,www.amazon.com,Kindle for Android,6,1285544000
B09XBGYWSR,US,2023-06-08T21:27:54Z,www.amazon.com,Kindle for Android,1,1285530600
Not Available,US,2022-12-25T19:31:18Z,www.amazon.com,Kindle for Android,2,1285389800
Not Available,US,2023-05-02T01:24:42Z,www.amazon.com,Kindle for Android,1,1285492200
Not Available,US,2023-03-07T03:52:22Z,www.amazon.com,Kindle for Android,7,1285441000
Not Available,US,2023-02-27T23:51:15Z,www.amazon.com,Kindle for Android,2,1285441000
Not Available,US,2023-06-06T01:41:39Z,www.amazon.com,Kindle for Android,6,1285530600
Not Available,US,2023-02-20T19:12:15Z,www.amazon.com,Kindle for Android,2,1285428200
Not Available,US,2023-03-07T03:52:00Z,www.amazon.com,Kindle for Android,4,1285441000
Not Available,US,2023-07-04T18:35:08Z,www.amazon.com,Kindle for Android,7,1285544000
Not Available,US,2023-03-09T03:27:06Z,www.amazon.com,Kindle for Android,2,1285441000
B08BYBNGMW,US,2022-12-25T19:31:23Z,www.amazon.com,Kindle for Android,2,1285389800
Not Available,US,2023-07-23T16:49:50Z,www.amazon.com,Kindle for Android,1,1285544000
Not Available,US,2023-06-06T01:41:37Z,www.amazon.com,Kindle for Android,5,1285530600
Not Available,US,2023-05-15T03:22:00Z,www.amazon.com,Kindle for Android,2,1285505000
Not Available,US,2023-03-07T03:52:23Z,www.amazon.com,Kindle for Android,1,1285441000
Not Available,US,2023-05-02T01:03:57Z,www.amazon.com,Kindle for Android,3,1285492200
Not Available,US,2023-03-07T03:51:12Z,www.amazon.com,Kindle for Android,2,1285441000
Not Available,US,2023-01-19T05:42:59Z,www.amazon.com,Kindle for Android,5,1285403200
Not Available,US,2023-01-07T06:09:39Z,www.amazon.com,Kindle for Android,2,1285403200
B09NTK9WDQ,US,2023-02-05T20:51:04Z,www.amazon.com,Kindle for Android,1,1285415400
Not Available,US,2023-04-21T03:42:02Z,www.amazon.com,Kindle for Android,1,1285479400
Not Available,US,2022-12-25T19:31:18Z,www.amazon.com,Kindle for Android,1,1285389800
Not Available,US,2023-01-02T03:38:55Z,www.amazon.com,Kindle for Android,2,1285403200
Not Available,US,2023-07-23T16:48:38Z,www.amazon.com,Kindle for Android,2,1285544000
Not Available,US,2023-02-27T23:51:02Z,www.amazon.com,Kindle for Android,3,1285441000
Not Available,US,2023-02-15T06:02:11Z,www.amazon.com,Kindle for Android,5,1285428200
Not Available,US,2023-02-15T06:17:54Z,www.amazon.com,Kindle for Android,11,1285428200
Not Available,US,2023-03-05T04:56:16Z,www.amazon.com,Kindle for Android,7,1285441000
Not Available,US,2023-01-12T05:36:10Z,www.amazon.com,Kindle for Android,1,1285403200
Not Available,US,2023-02-15T06:01:53Z,www.amazon.com,Kindle for Android,2,1285428200
