ASIN,Product Name,Annotation Type,Customer modified date on device,Device Serial Number,ContentType,Format,Creation Date,LastUpdatedDate,Highlight,Version,Selection Type,Note,Is Deleted
N4LRBDHXLHWB6GQCAL74CNNNWOIWTPMJ,Not Available,kindle.last_read,2022-11-18T03:49:59Z,G0016T03101203AQ,PDOC,Mobi8,2022-11-15T22:08:35Z,2022-11-18T03:49:59Z,Not Available,Not Available,Not Available,Not Available,No
B0BH8GTQYX,Heart of a Dog,kindle.continuous_read,2022-11-16T22:15:01Z,G0016T03101203AQ,EBOK,YJBinary,2022-11-13T06:45:21Z,2022-11-16T22:15:07Z,Not Available,Not Available,Not Available,Not Available,No
B0BH8GTQYX,Heart of a Dog,kindle.most_recent_read,2022-11-16T22:15:01Z,G0016T03101203AQ,EBOK,YJBinary,2022-11-13T06:45:21Z,2022-11-16T22:15:07Z,Not Available,Not Available,Not Available,Not Available,No
B0BH8GTQYX,Heart of a Dog,kindle.last_read,2022-11-16T22:15:01Z,G0016T03101203AQ,EBOK,YJBinary,2022-11-13T06:45:21Z,2022-11-16T22:15:07Z,Not Available,Not Available,Not Available,Not Available,No
B0BH8GTQYX,Heart of a Dog,kindle.continuous_read,2022-11-13T06:45:11Z,G0016T03101203AQ,EBSP,YJBinary,2022-11-13T06:45:14Z,2022-11-13T06:45:14Z,Not Available,Not Available,Not Available,Not Available,No
B0BH8GTQYX,Heart of a Dog,kindle.most_recent_read,2022-11-13T06:45:11Z,G0016T03101203AQ,EBSP,YJBinary,2022-11-13T06:45:14Z,2022-11-13T06:45:14Z,Not Available,Not Available,Not Available,Not Available,No
B0BH8GTQYX,Heart of a Dog,kindle.last_read,2022-11-13T06:45:11Z,G0016T03101203AQ,EBSP,YJBinary,2022-11-13T06:45:14Z,2022-11-13T06:45:14Z,Not Available,Not Available,Not Available,Not Available,No
B0BKPPPQNV,Runner's World,kindle.continuous_read,2022-11-11T05:44:13Z,G0016T03101203AQ,MAGZ,Mobi7,2022-11-11T05:44:15Z,2022-11-11T05:44:15Z,Not Available,Not Available,Not Available,Not Available,No
B0BKPPPQNV,Runner's World,kindle.most_recent_read,2022-11-11T05:44:13Z,G0016T03101203AQ,MAGZ,Mobi7,2022-11-11T05:44:14Z,2022-11-11T05:44:14Z,Not Available,Not Available,Not Available,Not Available,No
B0BKPPPQNV,Runner's World,kindle.last_read,2022-11-11T05:44:13Z,G0016T03101203AQ,MAGZ,Mobi7,2022-11-11T05:44:14Z,2022-11-11T05:44:14Z,Not Available,Not Available,Not Available,Not Available,No
