Created Timestamp,Preferred Marketplace ID,Country of Residence,Device Family,ASIN,Widget Position,App Version,Event Page
2023-07-04T18:22:42Z,www.amazon.com,US,Kindle for Android,Not Available,5,1285544000,HOME
2023-03-09T03:27:06Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285441000,HOME
2023-01-12T05:36:15Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285403200,HOME
2022-12-16T05:11:04Z,www.amazon.com,US,Kindle for Android,Not Available,4,1285389800,HOME
2023-01-25T00:55:23Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285403200,HOME
2023-03-13T19:33:02Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285453800,HOME
2023-05-14T17:40:31Z,www.amazon.com,US,Kindle for Android,B09XL59MJX,1,1285505000,HOME
2023-04-28T19:54:12Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285492200,HOME
2023-07-04T18:35:08Z,www.amazon.com,US,Kindle for Android,Not Available,5,1285544000,HOME
2023-06-06T01:34:33Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285530600,HOME
2023-04-21T03:43:45Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285479400,HOME
2023-03-31T16:15:19Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285466600,HOME
2023-07-05T17:30:45Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285544000,HOME
2023-07-23T16:48:38Z,www.amazon.com,US,Kindle for Android,Not Available,3,1285544000,HOME
2023-02-15T06:02:29Z,www.amazon.com,US,Kindle for Android,Not Available,12,1285428200,HOME
2023-04-30T21:04:18Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285492200,HOME
2023-05-02T01:04:29Z,www.amazon.com,US,Kindle for Android,Not Available,4,1285492200,HOME
2023-04-04T23:12:24Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285466600,HOME
2023-04-21T03:43:14Z,www.amazon.com,US,Kindle for Android,Not Available,3,1285479400,HOME
2023-01-25T00:55:14Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285403200,HOME
2022-12-14T17:44:35Z,www.amazon.com,US,Kindle for Android,B0B33PJZJT,3,1285389800,HOME
2023-02-28T19:20:18Z,www.amazon.com,US,Kindle for Android,Not Available,5,1285441000,HOME
2023-06-28T03:54:33Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285544000,HOME
2023-01-12T05:36:10Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285403200,HOME
2022-12-20T19:00:35Z,www.amazon.com,US,Kindle for Android,Not Available,7,1285389800,HOME
2023-06-28T23:55:47Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285544000,HOME
2023-05-15T03:08:10Z,www.amazon.com,US,Kindle for Android,B09XL59MJX,1,1285505000,HOME
2023-03-09T03:27:06Z,www.amazon.com,US,Kindle for Android,Not Available,3,1285441000,HOME
2023-07-04T18:22:43Z,www.amazon.com,US,Kindle for Android,Not Available,6,1285544000,HOME
2023-04-28T03:38:06Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285492200,HOME
2023-04-21T03:42:07Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285479400,HOME
2023-03-07T03:52:28Z,www.amazon.com,US,Kindle for Android,Not Available,5,1285441000,HOME
2023-02-20T03:00:36Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285428200,HOME
2023-07-03T15:17:31Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285544000,HOME
2023-02-28T00:02:49Z,www.amazon.com,US,Kindle for Android,B0BWMMN631,1,1285441000,HOME
2022-12-20T19:00:43Z,www.amazon.com,US,Kindle for Android,Not Available,13,1285389800,HOME
2023-02-28T00:03:06Z,www.amazon.com,US,Kindle for Android,Not Available,3,1285441000,HOME
2023-01-12T05:35:48Z,www.amazon.com,US,Kindle for Android,B09QMHZ53K,1,1285403200,HOME
2023-07-06T18:55:28Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285544000,HOME
2023-05-15T03:08:28Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285505000,HOME
2023-04-21T03:42:02Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285479400,HOME
2022-12-16T05:11:48Z,www.amazon.com,US,Kindle for Android,Not Available,13,1285389800,HOME
2023-05-02T01:03:57Z,www.amazon.com,US,Kindle for Android,Not Available,3,1285492200,HOME
2022-12-18T22:27:06Z,www.amazon.com,US,Kindle for Android,B09RX45W14,2,1285389800,HOME
2023-06-08T21:27:06Z,www.amazon.com,US,Kindle for Android,Not Available,3,1285530600,HOME
2023-02-20T03:00:36Z,www.amazon.com,US,Kindle for Android,Not Available,3,1285428200,HOME
2023-03-07T03:52:02Z,www.amazon.com,US,Kindle for Android,Not Available,5,1285441000,HOME
2023-06-19T21:29:05Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285543400,HOME
2023-05-02T01:24:40Z,www.amazon.com,US,Kindle for Android,Not Available,4,1285492200,HOME
