created_timestamp,preferred_marketplace,country,device_family,ASIN,Action,Medium,Zoom Scale,Focus X,Focus Y,Context Experience
2024-07-18T18:31:50Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,pan,Touch,1.6006,0.3035,0.4943,viewer
2024-08-02T19:57:14Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,pan,Touch,1.3986,0.3402,0.3672,viewer
2024-07-18T18:31:53Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,pan,Touch,1.6006,0.6876,0.5123,viewer
2024-07-15T00:00:29Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,pan,Touch,1.7227,0.5937,0.5070,viewer
2024-07-15T00:00:08Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,pan,Touch,1.7227,0.4345,0.5340,viewer
2024-07-17T10:49:50Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,pan,Touch,1.5733,0.3649,0.5512,viewer
2024-07-31T10:18:33Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,pan,Touch,1.8279,0.3045,0.4778,viewer
2024-01-10T05:02:21Z,www.amazon.com,US,Kindle for Android,B09S3WWY98,pan,Touch,1.0000,0.5000,0.0898,guided
2024-07-15T00:00:33Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,pan,Touch,1.7227,0.3493,0.6151,viewer
2024-01-10T05:02:28Z,www.amazon.com,US,Kindle for Android,B09S3WWY98,pan,Touch,1.0000,0.5000,0.7803,guided
2024-07-15T00:00:10Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,pan,Touch,1.7227,0.3053,0.5176,viewer
2024-07-12T19:18:17Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,pan,Touch,1.5584,0.6627,0.4807,viewer
2024-01-10T05:02:24Z,www.amazon.com,US,Kindle for Android,B09S3WWY98,pan,Touch,1.0000,0.5000,0.4298,guided
2024-08-02T19:57:33Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,pan,Touch,1.3986,0.5758,0.6750,viewer
2024-07-15T00:00:16Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,pan,Touch,1.7227,0.3482,0.5048,viewer
2024-07-31T10:18:32Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,zoom,Touch,1.8279,0.5062,0.5000,viewer
2024-07-15T00:00:31Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,pan,Touch,1.7227,0.3142,0.5335,viewer
2024-07-17T10:49:18Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,pan,Touch,1.5733,0.4002,0.3493,viewer
2024-08-26T02:18:12Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,pan,Touch,2.0895,0.2393,0.4973,viewer
2024-09-03T01:28:40Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,pan,Touch,1.4692,0.2837,0.7849,viewer
2024-08-04T17:18:25Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,pan,Touch,1.4973,0.3830,0.6671,viewer
2024-10-22T03:52:12Z,www.amazon.com,US,Kindle E-reader,2EUPLKIM7ATSLPXWBOUA4B2L66BXKDTV,zoom,Touch,2.3316,0.5000,0.5000,viewer
