created_timestamp,country,preferred_marketplace,device_family,active_ASIN,books_series_count,max_books_series_size,books_series_grouping_setting
2023-06-05T20:56:44Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-05-08T04:53:46Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2022-12-11T14:45:39Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-04-05T21:16:14Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-04-04T23:12:35Z,US,www.amazon.com,Kindle for Android,B07HB5DKQX,0,0,seriesGroupingDisabled
2023-04-14T21:44:11Z,US,www.amazon.com,Kindle for Android,Not Available,1,1,seriesGroupingDisabled
2023-03-08T20:58:55Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-05-20T13:24:59Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2022-12-19T09:12:33Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2022-12-14T17:44:32Z,US,www.amazon.com,Kindle for Android,B0B33PJZJT,0,0,seriesGroupingDisabled
2023-01-12T14:42:10Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-05-17T03:26:55Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-04-21T03:42:03Z,US,www.amazon.com,Kindle for Android,Not Available,1,1,seriesGroupingDisabled
2023-04-27T20:01:44Z,US,www.amazon.com,Kindle for Android,Not Available,1,1,seriesGroupingDisabled
2023-04-30T21:04:07Z,US,www.amazon.com,Kindle for Android,Not Available,1,1,seriesGroupingDisabled
2023-05-20T03:55:36Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-01-06T19:22:23Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-05-25T19:34:10Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
