created_timestamp,preferred_marketplace,country,device_family,ASIN,device_active_time_in_ms
2023-05-27T22:34:55Z,www.amazon.com,US,Kindle E-reader,Not Available,53223
2023-03-14T05:40:51Z,www.amazon.com,US,Kindle E-reader,B09JBCGQB8,23887
2023-05-27T18:24:36Z,www.amazon.com,US,Kindle E-reader,B098433CGQ,1537382
2023-03-09T03:52:57Z,www.amazon.com,US,Kindle E-reader,B09JBCGQB8,1055639
2023-04-14T22:58:39Z,www.amazon.com,US,Kindle E-reader,B000U913EI,528807
2023-06-15T20:52:52Z,www.amazon.com,US,Kindle E-reader,B0BHCXVWGT,157741
2023-06-29T00:11:46Z,www.amazon.com,US,Kindle E-reader,B0B7NDZNDV,1375692
2023-04-30T00:47:24Z,www.amazon.com,US,Kindle E-reader,Not Available,600725
2023-02-15T05:40:36Z,www.amazon.com,US,Kindle E-reader,B09QMHZ53K,2407396
2023-03-20T21:13:49Z,www.amazon.com,US,Kindle E-reader,B09RTYQW2S,1888851
2023-03-03T20:49:17Z,www.amazon.com,US,Kindle E-reader,B09NW4FN2R,1500842
2023-03-01T04:06:39Z,www.amazon.com,US,Kindle E-reader,B08QXTPXPH,1469747
2023-04-21T04:10:52Z,www.amazon.com,US,Kindle E-reader,B09RTYQW2S,2567889
2023-04-07T18:46:18Z,www.amazon.com,US,Kindle E-reader,B07HB5DKQX,952116
2023-05-15T02:58:44Z,www.amazon.com,US,Kindle E-reader,Not Available,1586776
2023-04-13T23:40:37Z,www.amazon.com,US,Kindle E-reader,B0B1BTJLJN,146790
2023-05-12T15:47:12Z,www.amazon.com,US,Kindle E-reader,Not Available,30035
2023-05-15T03:54:25Z,www.amazon.com,US,Kindle E-reader,B0C3QHMLGL,1748405
2023-04-27T03:30:34Z,www.amazon.com,US,Kindle E-reader,B0B6Z3LN2D,2415842
2023-04-02T04:14:40Z,www.amazon.com,US,Kindle E-reader,B075SPBQDV,2445600
2023-01-11T05:13:39Z,www.amazon.com,US,Kindle E-reader,Not Available,2595157
2023-01-16T05:20:31Z,www.amazon.com,US,Kindle E-reader,B09QMHZ53K,4544195
2023-07-27T04:44:26Z,www.amazon.com,US,Kindle E-reader,B084G9Z5C3,2158844
2023-01-26T05:37:56Z,www.amazon.com,US,Kindle E-reader,B09R21YVLM,3303715
2023-04-28T22:57:03Z,www.amazon.com,US,Kindle E-reader,Not Available,453789
2023-03-29T11:19:51Z,www.amazon.com,US,Kindle E-reader,B0B3989NDF,877277
2023-05-25T18:30:57Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,1578352
2023-04-20T04:35:10Z,www.amazon.com,US,Kindle E-reader,B000U913EI,3098424
2023-02-22T03:24:15Z,www.amazon.com,US,Kindle E-reader,B08NT2VSWF,1140168
2023-03-13T22:26:21Z,www.amazon.com,US,Kindle E-reader,B09N6VX4K7,2487708
2023-04-07T04:16:05Z,www.amazon.com,US,Kindle E-reader,B07HB5DKQX,1289003
2023-04-26T03:29:42Z,www.amazon.com,US,Kindle E-reader,B0B6Z3LN2D,2813020
2023-05-12T21:32:45Z,www.amazon.com,US,Kindle E-reader,B09XL59MJX,1647507
2023-03-31T04:56:07Z,www.amazon.com,US,Kindle E-reader,B0B1Y1ZKFX,1616415
2023-06-23T19:45:09Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,1262097
2023-04-14T02:04:51Z,www.amazon.com,US,Kindle E-reader,B0B1BTJLJN,53365
2023-06-08T01:10:28Z,www.amazon.com,US,Kindle E-reader,Not Available,58351
2023-04-09T19:11:23Z,www.amazon.com,US,Kindle E-reader,B004HW7DZ2,1150463
2023-01-12T05:35:21Z,www.amazon.com,US,Kindle E-reader,Not Available,213599
2023-04-05T23:12:47Z,www.amazon.com,US,Kindle E-reader,B07HB5DKQX,93898
2023-05-23T22:00:46Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,1838926
2023-03-20T03:42:48Z,www.amazon.com,US,Kindle E-reader,B0B3Y8DJFJ,1232238
2023-03-20T02:51:25Z,www.amazon.com,US,Kindle E-reader,B09RTYQW2S,1586974
2023-03-11T05:52:08Z,www.amazon.com,US,Kindle E-reader,B09N6VX4K7,3317160
2023-06-03T17:34:49Z,www.amazon.com,US,Kindle E-reader,Not Available,600310
2023-06-07T03:40:39Z,www.amazon.com,US,Kindle E-reader,B09XBGYWSR,2726940
2023-02-20T23:10:25Z,www.amazon.com,US,Kindle E-reader,B0B2F5J32D,2014845
2023-07-17T21:25:50Z,www.amazon.com,US,Kindle E-reader,B07GD51NCJ,2368573
2023-07-05T20:56:21Z,www.amazon.com,US,Kindle E-reader,B09Y94K74X,2081940
2023-07-07T19:17:09Z,www.amazon.com,US,Kindle E-reader,B09Y94K74X,13876
2023-06-15T23:21:41Z,www.amazon.com,US,Kindle E-reader,B0BHCXVWGT,203428
2023-01-25T05:27:52Z,www.amazon.com,US,Kindle E-reader,B09R21YVLM,687330
2023-07-22T03:38:01Z,www.amazon.com,US,Kindle E-reader,B0BH4QWM85,1154888
2023-01-09T04:57:34Z,www.amazon.com,US,Kindle E-reader,B09QMHZ53K,1232093
2023-02-23T20:08:19Z,www.amazon.com,US,Kindle E-reader,B08KQ4W18H,1819670
2023-02-14T23:01:48Z,www.amazon.com,US,Kindle E-reader,B09QMHZ53K,3040790
2023-04-09T23:17:55Z,www.amazon.com,US,Kindle E-reader,B000U913EI,729393
2023-01-27T05:27:03Z,www.amazon.com,US,Kindle E-reader,B09R21YVLM,3366648
2023-04-20T19:49:05Z,www.amazon.com,US,Kindle E-reader,B000U913EI,1393528
2023-06-28T21:10:25Z,www.amazon.com,US,Kindle E-reader,B0B7NDZNDV,2361755
2023-03-19T05:24:18Z,www.amazon.com,US,Kindle E-reader,B0B3Y8DJFJ,2153001
2023-04-13T04:40:36Z,www.amazon.com,US,Kindle E-reader,B000U913EI,1860879
2023-05-28T22:31:58Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,604064
2023-07-28T18:41:34Z,www.amazon.com,US,Kindle E-reader,Not Available,8801
2023-04-14T22:00:26Z,www.amazon.com,US,Kindle E-reader,Not Available,1878293
2023-04-19T04:16:05Z,www.amazon.com,US,Kindle E-reader,B000U913EI,1247806
2023-03-02T04:19:46Z,www.amazon.com,US,Kindle E-reader,Not Available,13409
2023-03-08T22:41:09Z,www.amazon.com,US,Kindle E-reader,B09JBCGQB8,1854009
2023-07-04T03:58:05Z,www.amazon.com,US,Kindle E-reader,Not Available,2959619
2023-04-27T22:33:41Z,www.amazon.com,US,Kindle E-reader,Not Available,1084665
2023-05-06T20:10:11Z,www.amazon.com,US,Kindle E-reader,B084357H23,1400688
2023-05-01T21:12:03Z,www.amazon.com,US,Kindle E-reader,Not Available,1981964
2023-07-15T03:52:26Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,1036717
2023-02-20T03:24:20Z,www.amazon.com,US,Kindle E-reader,B07VDJBKNJ,974351
2023-02-08T22:18:34Z,www.amazon.com,US,Kindle E-reader,Not Available,341882
2023-03-25T21:39:06Z,www.amazon.com,US,Kindle E-reader,B0B3Y8DJFJ,722662
2023-06-30T22:47:21Z,www.amazon.com,US,Kindle E-reader,Not Available,3285635
2023-07-09T04:34:49Z,www.amazon.com,US,Kindle E-reader,B09Y94K74X,1355937
2023-05-15T21:04:12Z,www.amazon.com,US,Kindle E-reader,B09Y46DSD7,1730057
2023-02-05T04:36:57Z,www.amazon.com,US,Kindle E-reader,B09NTK9WDQ,730182
2023-04-05T21:50:43Z,www.amazon.com,US,Kindle E-reader,B07HB5DKQX,172936
2023-07-13T03:03:04Z,www.amazon.com,US,Kindle E-reader,B09Y94K74X,1983245
2023-05-24T03:34:33Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,911612
2023-02-03T04:35:39Z,www.amazon.com,US,Kindle E-reader,B09NTK9WDQ,2319078
2023-02-07T00:07:26Z,www.amazon.com,US,Kindle E-reader,Not Available,637476
2023-03-14T23:59:27Z,www.amazon.com,US,Kindle E-reader,B09JBCGQB8,1023318
2023-04-01T23:53:20Z,www.amazon.com,US,Kindle E-reader,Not Available,1443775
2023-02-15T22:29:18Z,www.amazon.com,US,Kindle E-reader,B01COJUEZ0,1993859
2023-05-16T21:19:03Z,www.amazon.com,US,Kindle E-reader,B08D4QJRY2,2190353
2023-03-18T04:57:30Z,www.amazon.com,US,Kindle E-reader,B006CUDDUG,320217
2023-02-01T20:11:46Z,www.amazon.com,US,Kindle E-reader,B09NTK9WDQ,1413953
2023-05-25T04:48:33Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,2632401
2023-03-11T23:11:41Z,www.amazon.com,US,Kindle E-reader,B09N6VX4K7,1277803
2023-05-14T20:13:39Z,www.amazon.com,US,Kindle E-reader,B09XL59MJX,6765595
2023-05-20T03:47:00Z,www.amazon.com,US,Kindle E-reader,Not Available,205182
2023-02-28T05:28:07Z,www.amazon.com,US,Kindle E-reader,B08QXTPXPH,3658563
2023-03-31T04:25:36Z,www.amazon.com,US,Kindle E-reader,Not Available,439627
2023-04-11T01:55:29Z,www.amazon.com,US,Kindle E-reader,B0B3HPSFJ7,7903036
2023-02-21T17:56:17Z,www.amazon.com,US,Kindle E-reader,B08NT2VSWF,3571295
2023-07-11T03:51:40Z,www.amazon.com,US,Kindle E-reader,B09Y94K74X,1440318
2023-07-28T03:42:31Z,www.amazon.com,US,Kindle E-reader,B084G9Z5C3,2390015
2023-05-08T04:18:14Z,www.amazon.com,US,Kindle E-reader,B084357H23,1352593
2023-05-28T23:31:51Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,2535953
2023-03-29T20:46:25Z,www.amazon.com,US,Kindle E-reader,Not Available,9191563
2023-07-06T04:06:09Z,www.amazon.com,US,Kindle E-reader,B09Y94K74X,3849118
2023-07-27T20:03:54Z,www.amazon.com,US,Kindle E-reader,B084G9Z5C3,1671155
2023-05-09T22:44:01Z,www.amazon.com,US,Kindle E-reader,B0BBCB6PFC,3223983
2023-06-21T03:59:54Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,562184
2023-06-08T04:02:39Z,www.amazon.com,US,Kindle E-reader,B09XBGYWSR,1748518
2023-01-15T05:47:11Z,www.amazon.com,US,Kindle E-reader,B09QMHZ53K,3104825
2023-02-20T22:34:12Z,www.amazon.com,US,Kindle E-reader,Not Available,3290220
2023-04-19T22:03:59Z,www.amazon.com,US,Kindle E-reader,B000U913EI,1900035
2023-03-30T03:50:15Z,www.amazon.com,US,Kindle E-reader,Not Available,97599
2023-07-04T19:44:56Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,2427924
2023-04-17T04:41:58Z,www.amazon.com,US,Kindle E-reader,B000U913EI,2056887
2023-06-19T00:57:06Z,www.amazon.com,US,Kindle E-reader,B0BHCXVWGT,1629898
2023-06-26T22:03:19Z,www.amazon.com,US,Kindle E-reader,B0BHTN6TL6,1697319
2023-02-09T04:55:32Z,www.amazon.com,US,Kindle E-reader,B00PSSG4MM,2326788
2023-07-21T22:17:11Z,www.amazon.com,US,Kindle E-reader,B07GD51NCJ,3746645
2023-06-13T02:00:04Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,2203874
2023-04-10T22:17:22Z,www.amazon.com,US,Kindle E-reader,B0B3HPSFJ7,1934417
2023-01-12T05:02:45Z,www.amazon.com,US,Kindle E-reader,B09QMHZ53K,2158348
2023-05-16T22:32:18Z,www.amazon.com,US,Kindle E-reader,B08D4QJRY2,1470389
2023-03-12T06:05:23Z,www.amazon.com,US,Kindle E-reader,B09JBCGQB8,2139493
2023-03-11T17:43:35Z,www.amazon.com,US,Kindle E-reader,B09JBCGQB8,2449708
2023-03-11T06:24:15Z,www.amazon.com,US,Kindle E-reader,B09N6VX4K7,1649582
2023-03-02T23:25:19Z,www.amazon.com,US,Kindle E-reader,B01HLY0Z0W,670591
2023-05-27T04:54:27Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,1896492
2023-04-28T17:24:00Z,www.amazon.com,US,Kindle E-reader,B0B6Z4SVTH,1160329
2023-01-10T09:10:34Z,www.amazon.com,US,Kindle E-reader,B09QMHZ53K,1863142
2023-05-15T03:09:17Z,www.amazon.com,US,Kindle E-reader,Not Available,37787
2023-05-12T15:57:50Z,www.amazon.com,US,Kindle E-reader,Not Available,633781
2023-03-20T02:55:16Z,www.amazon.com,US,Kindle E-reader,Not Available,180468
